hypothesis_id,metabolite_a,metabolite_a_name,metabolite_b,metabolite_b_name,direction_status,genes,gene_count,reaction_ids,reaction_distance,intermediate_metabolites,subsystems,contains_transport_reaction,review_priority,pathway_source,path_search_truncated,signature_prevalence,expected_discovery_carriers,expected_replication_carriers,discovery_power,replication_power,eligible,ineligibility_reason
GGM-0000001,AMP,AMP,CMP,CMP,unresolved,TREX1,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX1
GGM-0000002,AMP,AMP,CMP,CMP,unresolved,TREX2,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX2
GGM-0000003,AMP,AMP,CMP,CMP,unresolved,RAD1;RAD9A,2,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RAD1;RAD9A
GGM-0000004,AMP,AMP,GMP,GMP,unresolved,GMPS,1,MAR04453,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: GMPS
GGM-0000005,AMP,AMP,GMP,GMP,unresolved,TREX1,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX1
GGM-0000006,AMP,AMP,GMP,GMP,unresolved,TREX2,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX2
GGM-0000007,AMP,AMP,GMP,GMP,unresolved,RAD1;RAD9A,2,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RAD1;RAD9A
GGM-0000008,AMP,AMP,NAD,NAD+,unresolved,NADSYN1,1,MAR04261,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NADSYN1
GGM-0000009,AMP,AMP,NAD,NAD+,unresolved,NUDT12,1,MAR04263,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NUDT12
GGM-0000010,AMP,AMP,UMP,UMP,unresolved,TREX1,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX1
GGM-0000011,AMP,AMP,UMP,UMP,unresolved,TREX2,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX2
GGM-0000012,AMP,AMP,UMP,UMP,unresolved,RAD1;RAD9A,2,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RAD1;RAD9A
GGM-0000013,AMP,AMP,adenine,adenine,unresolved,APRT,1,MAR04085,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: APRT
GGM-0000014,AMP,AMP,adenosine,adenosine,unresolved,ACP3,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP3
GGM-0000015,AMP,AMP,adenosine,adenosine,unresolved,ADK,1,MAR04012,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ADK
GGM-0000016,AMP,AMP,adenosine,adenosine,unresolved,DCK,1,MAR04012,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: DCK
GGM-0000017,AMP,AMP,adenosine,adenosine,unresolved,NT5C,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C
GGM-0000018,AMP,AMP,adenosine,adenosine,unresolved,NT5C1A,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C1A
GGM-0000019,AMP,AMP,adenosine,adenosine,unresolved,NT5C1B,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C1B
GGM-0000020,AMP,AMP,adenosine,adenosine,unresolved,NT5C2,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C2
GGM-0000021,AMP,AMP,adenosine,adenosine,unresolved,NT5C3B,1,MAR04081,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3B
GGM-0000022,AMP,AMP,adenosine,adenosine,unresolved,NT5E,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5E
GGM-0000023,AMP,AMP,adenosine,adenosine,unresolved,NT5M,1,MAR04081,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5M
GGM-0000024,AMP,AMP,adenosine,adenosine,unresolved,RBAK,1,MAR04010,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RBAK
GGM-0000025,AMP,AMP,alanine,alanine,unresolved,AARS1,1,MAR05131,0,,Aminoacyl-tRNA biosynthesis,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: AARS1
GGM-0000026,AMP,AMP,beta-alanine,beta-alanine,unresolved,CARNS1,1,MAR04425,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: CARNS1
GGM-0000027,AMP,AMP,cAMP,cAMP,unresolved,PDE10A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE10A
GGM-0000028,AMP,AMP,cAMP,cAMP,unresolved,PDE11A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE11A
GGM-0000029,AMP,AMP,cAMP,cAMP,unresolved,PDE1A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE1A
GGM-0000030,AMP,AMP,cAMP,cAMP,unresolved,PDE1B,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE1B
GGM-0000031,AMP,AMP,cAMP,cAMP,unresolved,PDE1C,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE1C
GGM-0000032,AMP,AMP,cAMP,cAMP,unresolved,PDE2A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE2A
GGM-0000033,AMP,AMP,cAMP,cAMP,unresolved,PDE3A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE3A
GGM-0000034,AMP,AMP,cAMP,cAMP,unresolved,PDE3B,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE3B
GGM-0000035,AMP,AMP,cAMP,cAMP,unresolved,PDE4A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE4A
GGM-0000036,AMP,AMP,cAMP,cAMP,unresolved,PDE4B,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE4B
GGM-0000037,AMP,AMP,cAMP,cAMP,unresolved,PDE4C,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE4C
GGM-0000038,AMP,AMP,cAMP,cAMP,unresolved,PDE4D,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE4D
GGM-0000039,AMP,AMP,cAMP,cAMP,unresolved,PDE6C,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE6C
