hypothesis_id,metabolite_a,metabolite_a_name,metabolite_b,metabolite_b_name,direction_status,genes,gene_count,reaction_ids,reaction_distance,intermediate_metabolites,subsystems,contains_transport_reaction,review_priority,pathway_source,path_search_truncated,signature_prevalence,expected_discovery_carriers,expected_replication_carriers,discovery_power,replication_power,eligible,ineligibility_reason,n,groups,informative_groups,context_0_n,context_1_n,triple_interaction_estimate,standard_error,p_value,confidence_interval_low,confidence_interval_high,nature_interaction_context_0,nature_interaction_context_1,design_rank,residual_degrees_of_freedom,condition_number,maximum_leverage,covariance_type,analysis_status,analysis_error,fdr_q_value
GGM-0000247,glutamate,glutamate,glutamine,glutamine,unresolved,GLS2,1,MAR09802,0,,"Alanine, aspartate and glutamate metabolism",False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: GLS2,606,14,14,236,370,-0.3021521784170534,0.09835175440479522,0.002125168473045701,-0.49491807486678063,-0.10938628196732614,0.2232999703680391,-0.07885220804901427,47,559.0,42.62509200972259,0.8490744916343376,HC3,tested,,0.603547846344979
GGM-0000042,AMP,AMP,cAMP,cAMP,unresolved,PDE7A,1,MAR04014,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDE7A,606,14,14,236,370,-0.32028521858456205,0.11793647946853476,0.006612714360012388,-0.5514364708063377,-0.08913396636278637,0.20360980898681458,-0.11667540959774747,47,559.0,67.28045622169681,0.7689055391892132,HC3,tested,,0.6547342406256343
GGM-0000124,NAD,NAD+,xanthine,xanthine,unresolved,XDH,1,MAR04519,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: XDH,606,14,14,236,370,0.3283221662992416,0.1225419645541286,0.007378438872637531,0.08814432917836565,0.5685000034201175,-0.2370719287786921,0.0912502375205495,47,559.0,41.36448721283539,0.6480561586182481,HC3,tested,,0.6547342406256343
GGM-0000114,NAD,NAD+,oxalate,oxalate,unresolved,LDHAL6B,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHAL6B,606,14,14,236,370,0.2593711028368831,0.10636416735363774,0.01474756045217737,0.05090116557816213,0.467841040095604,-0.1532609531368946,0.10611014969998847,47,559.0,49.00771233663184,0.9033722106931594,HC3,tested,,0.6547342406256343
GGM-0000197,beta-alanine,beta-alanine,carnosine,carnosine,unresolved,CARNS1,1,MAR04425,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: CARNS1,606,14,14,236,370,-0.23369563499578075,0.09659438572140332,0.015548268363261912,-0.4230171521185013,-0.0443741178730602,0.22059355777264536,-0.013102077223135389,47,559.0,50.30070258600394,0.830691982244121,HC3,tested,,0.6547342406256343
GGM-0000072,CMP,CMP,cytidine,cytidine,unresolved,NT5C3B,1,MAR04177,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3B,606,14,14,236,370,0.2352329988088516,0.09731380588478934,0.015637741817360076,0.04450144407614251,0.4259645535415607,-0.0756451028333293,0.1595878959755223,47,559.0,52.62571188223792,0.85466160279086,HC3,tested,,0.6547342406256343
GGM-0000249,glutamate,glutamate,glutamine,glutamine,unresolved,PPAT,1,MAR04406,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PPAT,606,14,14,236,370,-0.2478803923258083,0.10303519427532319,0.01613781579006845,-0.44982566224552933,-0.0459351224060873,0.203893905449742,-0.043986486876066294,47,559.0,46.414697208196024,0.6282707003062353,HC3,tested,,0.6547342406256343
GGM-0000210,betaine,betaine,methionine,methionine,unresolved,BHMT2,1,MAR04699,0,,"Glycine, serine and threonine metabolism",False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: BHMT2,606,14,14,236,370,-0.23196838554441337,0.10891931105330102,0.03319416766653012,-0.4454463124297988,-0.01849045865902796,0.18053347541695533,-0.051434910127458044,47,559.0,41.97146757573093,0.9990794750175956,HC3,tested,,0.9457866671994428
GGM-0000301,hypoxanthine,hypoxanthine,xanthine,xanthine,unresolved,XDH,1,MAR04519,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: XDH,606,14,14,236,370,-0.1722400304938214,0.08334698582785534,0.03877734934007961,-0.33559712093638816,-0.008882940051254617,0.12675977221675094,-0.045480258277070446,47,559.0,45.79634687010106,0.7292059286214427,HC3,tested,,0.9457866671994428
GGM-0000003,AMP,AMP,CMP,CMP,unresolved,RAD1;RAD9A,2,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RAD1;RAD9A,606,14,14,236,370,-0.1440887458358157,0.0717255048924581,0.04454865823718893,-0.284668152197985,-0.0035093394736464,0.11762345174732561,-0.026465294088490104,47,559.0,48.70138187887002,0.8118168865412895,HC3,tested,,0.9457866671994428
