assay_metabolite_id,human_gem_base_id,display_name,mapping_status,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
aconitate,MAM01580,cis-aconitate,mapped,ChEBI,MAM01580,,CHEBI:32805,curated_stable_id
arginine,MAM01365,arginine,mapped,HMDB;ChEBI,MAM01365,HMDB0000517,CHEBI:16467,curated_stable_id
asparagine,MAM01369,asparagine,mapped,HMDB;ChEBI,MAM01369,HMDB0000168,CHEBI:17196,curated_stable_id
aspartate,MAM01370,aspartate,mapped,HMDB;ChEBI,MAM01370,HMDB0000191,CHEBI:17053,curated_stable_id
betaine,MAM01393,betaine,mapped,HMDB;ChEBI,MAM01393,HMDB0000043,CHEBI:17750,curated_stable_id
choline,MAM01513,choline,mapped,HMDB;ChEBI,MAM01513,HMDB0000097,CHEBI:15354,curated_stable_id
citrate,MAM01587,citrate,mapped,HMDB;ChEBI,MAM01587,HMDB0000094,CHEBI:30769,curated_stable_id
glutamate,MAM01974,glutamate,mapped,HMDB;ChEBI,MAM01974,HMDB0000148,CHEBI:16015,curated_stable_id
glutamine,MAM01975,glutamine,mapped,HMDB;ChEBI,MAM01975,HMDB0000641,CHEBI:18050,curated_stable_id
glycine,MAM01986,glycine,mapped,HMDB;ChEBI,MAM01986,HMDB0000123,CHEBI:15428,curated_stable_id
isocitrate,MAM02183,isocitrate,mapped,HMDB;ChEBI,MAM02183,HMDB0000193,CHEBI:30887,curated_stable_id
ornithine,MAM02658,ornithine,mapped,HMDB;ChEBI,MAM02658,HMDB0000214,CHEBI:15729,curated_stable_id
serine,MAM02896,serine,mapped,HMDB;ChEBI,MAM02896,HMDB0000187,CHEBI:17115,curated_stable_id
1-methylnicotinamide,MAM00536,1-methylnicotinamide,mapped,HMDB;ChEBI,MAM00536,HMDB0000699,CHEBI:16797,unique_exact_normalized_name
4-pyridoxate,MAM01033,4-pyridoxate,mapped,HMDB;ChEBI,MAM01033,HMDB0000017,CHEBI:17405,unique_exact_normalized_name
AMP,MAM01334,AMP,mapped,HMDB;ChEBI,MAM01334,HMDB0000045,CHEBI:16027,unique_exact_normalized_name
CMP,MAM01590,CMP,mapped,HMDB;ChEBI,MAM01590,HMDB0000095,CHEBI:17361,unique_exact_normalized_name
GMP,MAM02016,GMP,mapped,ChEBI,MAM02016,,CHEBI:17345,unique_exact_normalized_name
NAD,MAM02552,NAD+,mapped,HMDB;ChEBI,MAM02552,HMDB0000902,CHEBI:15846,unique_exact_normalized_name
NADP,MAM02554,NADP+,mapped,HMDB;ChEBI,MAM02554,HMDB0000217,CHEBI:18009;CHEBI:58349,unique_exact_normalized_name
PEP,MAM02696,PEP,mapped,HMDB;ChEBI,MAM02696,HMDB0000263,CHEBI:44897,unique_exact_normalized_name
UMP,MAM03114,UMP,mapped,ChEBI,MAM03114,,CHEBI:16695,unique_exact_normalized_name
acetylcholine,MAM01260,acetylcholine,mapped,HMDB;ChEBI,MAM01260,HMDB0000895,CHEBI:15355,unique_exact_normalized_name
adenine,MAM01279,adenine,mapped,HMDB;ChEBI,MAM01279,HMDB0000034,CHEBI:16708,unique_exact_normalized_name
adenosine,MAM01280,adenosine,mapped,HMDB;ChEBI,MAM01280,HMDB0000050,CHEBI:16335,unique_exact_normalized_name
alanine,MAM01307,alanine,mapped,HMDB;ChEBI,MAM01307,HMDB0000161,CHEBI:16977,unique_exact_normalized_name
allantoin,MAM01313,allantoin,mapped,HMDB;ChEBI,MAM01313,HMDB0000462,CHEBI:15676,unique_exact_normalized_name
beta-alanine,MAM01383,beta-alanine,mapped,HMDB;ChEBI,MAM01383,HMDB0000056,CHEBI:16958,unique_exact_normalized_name
cAMP,MAM01419,cAMP,mapped,HMDB;ChEBI,MAM01419,HMDB0000058,CHEBI:17489,unique_exact_normalized_name
carnosine,MAM01423,carnosine,mapped,HMDB;ChEBI,MAM01423,HMDB0000033,CHEBI:15727,unique_exact_normalized_name
citrulline,MAM01588,citrulline,mapped,HMDB;ChEBI,MAM01588,HMDB0000904,CHEBI:16349,unique_exact_normalized_name
creatine,MAM01619,creatine,mapped,HMDB;ChEBI,MAM01619,HMDB0000064,CHEBI:16919,unique_exact_normalized_name
creatinine,MAM01621,creatinine,mapped,HMDB;ChEBI,MAM01621,HMDB0000562,CHEBI:16737,unique_exact_normalized_name
cytidine,MAM01630,cytidine,mapped,HMDB;ChEBI,MAM01630,HMDB0000089,CHEBI:17562,unique_exact_normalized_name
dCMP,MAM01644,dCMP,mapped,ChEBI,MAM01644,,CHEBI:15918,unique_exact_normalized_name
dimethylglycine,MAM01708,dimethylglycine,mapped,HMDB;ChEBI,MAM01708,HMDB0000092,CHEBI:17724,unique_exact_normalized_name
erythrose-4-phosphate,MAM01785,erythrose-4-phosphate,mapped,ChEBI,MAM01785,,CHEBI:48153,unique_exact_normalized_name
glucuronate,MAM01973,glucuronate,mapped,HMDB;ChEBI,MAM01973,HMDB0000127,CHEBI:42717,unique_exact_normalized_name
guanosine,MAM02038,guanosine,mapped,HMDB;ChEBI,MAM02038,HMDB0000133,CHEBI:16750,unique_exact_normalized_name
hippurate,MAM02123,hippurate,mapped,HMDB;ChEBI,MAM02123,HMDB0000714,CHEBI:18089,unique_exact_normalized_name
histidine,MAM02125,histidine,mapped,HMDB;ChEBI,MAM02125,HMDB0000177,CHEBI:15971,unique_exact_normalized_name
homocysteine,MAM02133,homocysteine,mapped,HMDB;ChEBI,MAM02133,HMDB0000742,CHEBI:17230,unique_exact_normalized_name
hypoxanthine,MAM02159,hypoxanthine,mapped,HMDB;ChEBI,MAM02159,HMDB0000157,CHEBI:17368,unique_exact_normalized_name
inosine,MAM02170,inosine,mapped,HMDB;ChEBI,MAM02170,HMDB0000195,CHEBI:17596,unique_exact_normalized_name
inositol,MAM02171,inositol,mapped,HMDB;ChEBI,MAM02171,HMDB0000211,CHEBI:17268,unique_exact_normalized_name
isoleucine,MAM02184,isoleucine,mapped,HMDB;ChEBI,MAM02184,HMDB0000172,CHEBI:17191,unique_exact_normalized_name
kynurenine,MAM02319,kynurenine,mapped,HMDB;ChEBI,MAM02319,HMDB0000684,CHEBI:16946,unique_exact_normalized_name
lactose,MAM02332,lactose,mapped,HMDB;ChEBI,MAM02332,HMDB0000186,CHEBI:36219,unique_exact_normalized_name
leucine,MAM02360,leucine,mapped,HMDB;ChEBI,MAM02360,HMDB0000687,CHEBI:15603,unique_exact_normalized_name
lysine,MAM02426,lysine,mapped,HMDB;ChEBI,MAM02426,HMDB0000182,CHEBI:18019,unique_exact_normalized_name
