trait_id,trait_description,context,catalog_trait,accession,cohort,trait,variant_count,pubmed_id,md5,genome_assembly
Acetoacetate,Acetoacetate,age,Acetoacetate x age interaction,GCST90683272,BBJ,Acetoacetate x age interaction,1009514,41606330,4b704b61f444c37170027aa691c3991a,GRCh37
Acetoacetate,Acetoacetate,age,Acetoacetate x age interaction,GCST90686847,UKB,Acetoacetate x age interaction,1478368,41606330,c744c55642d8b50f3cdcdc26687dc5e2,GRCh37
Acetoacetate,Acetoacetate,current_smoking,Acetoacetate x current-smoking interaction,GCST90684247,BBJ,Acetoacetate x current-smoking interaction,1009477,41606330,0e4e3f1a4a68233ac5431a3258089bc3,GRCh37
Acetoacetate,Acetoacetate,current_smoking,Acetoacetate x current-smoking interaction,GCST90687822,UKB,Acetoacetate x current-smoking interaction,1478372,41606330,de86cadd7e5ceda2fde655572a978eb8,GRCh37
Acetoacetate,Acetoacetate,ever_drinking,Acetoacetate x ever-drinking interaction,GCST90683597,BBJ,Acetoacetate x ever-drinking interaction,1009521,41606330,77709c1085a55f3611bd6a480f771e92,GRCh37
Acetoacetate,Acetoacetate,ever_drinking,Acetoacetate x ever-drinking interaction,GCST90687172,UKB,Acetoacetate x ever-drinking interaction,1478375,41606330,5a928e86860d4cafdb792daf8880a5e9,GRCh37
Acetoacetate,Acetoacetate,ever_smoking,Acetoacetate x ever-smoking interaction,GCST90683922,BBJ,Acetoacetate x ever-smoking interaction,1009509,41606330,2fc18e0fa4dac906f08b2b3051076e35,GRCh37
Acetoacetate,Acetoacetate,ever_smoking,Acetoacetate x ever-smoking interaction,GCST90687497,UKB,Acetoacetate x ever-smoking interaction,1478372,41606330,beaf2b2601c3b903694b08afea52fc9e,GRCh37
Acetoacetate,Acetoacetate,physical_activity,Acetoacetate x physical activity interaction,GCST90685547,BBJ,Acetoacetate x physical activity interaction,1009475,41606330,dddeae0ab9ce0e87b3edc5737f1cd0ed,GRCh37
Acetoacetate,Acetoacetate,physical_activity,Acetoacetate x physical activity interaction,GCST90689122,UKB,Acetoacetate x physical activity interaction,1478366,41606330,8df411ff6d0c0427e743a8e8dc3ad614,GRCh37
Acetoacetate,Acetoacetate,sex,Acetoacetate x sex interaction,GCST90682947,BBJ,Acetoacetate x sex interaction,1009514,41606330,4227127e0c0d181dd33e3c5fbdb881d9,GRCh37
Acetoacetate,Acetoacetate,sex,Acetoacetate x sex interaction,GCST90686522,UKB,Acetoacetate x sex interaction,1478368,41606330,cfc3413ddf3e464c9999205c7be77c64,GRCh37
Ala,Alanine,age,Alanine x age interaction,GCST90683256,BBJ,Alanine x age interaction,1009538,41606330,82ea92abb113360f284b4dbeab3b6050,GRCh37
Ala,Alanine,age,Alanine x age interaction,GCST90686831,UKB,Alanine x age interaction,1478398,41606330,f2c527bbc126646576e26a8dc4d10684,GRCh37
Ala,Alanine,current_smoking,Alanine x current-smoking interaction,GCST90684231,BBJ,Alanine x current-smoking interaction,1009477,41606330,7f7b1bd6768b3f625773a31413a42c4a,GRCh37
