context,mutable_observational_context,cohort,pair_id,trait_a,trait_b,aligned_variants,null_z_correlation,null_variants,family_p_threshold,genomewide_variants,genomewide_loci,coherent_loci,zero_correlation_loci,both_nominal_loci
age,False,BBJ,alanine_glutamine,Ala,Gln,1009438,0.21310475818255634,821312,1.3888888888888888e-09,0,0,0,0,0
age,False,BBJ,alanine_glycine,Ala,Gly,1009440,0.18111885851452625,821431,1.3888888888888888e-09,1,1,1,0,0
age,False,BBJ,alanine_pyruvate,Ala,Pyruvate,1009433,0.28343076262807654,828487,1.3888888888888888e-09,0,0,0,0,0
age,False,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009428,0.25305231021908553,828428,1.3888888888888888e-09,0,0,0,0,0
age,False,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008603,0.2914052175267991,826039,1.3888888888888888e-09,0,0,0,0,0
age,False,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009427,0.3406054936810995,827152,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,alanine_glutamine,Ala,Gln,1478308,0.14638260985634236,1200161,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,alanine_glycine,Ala,Gly,1478320,0.10394170988908573,1199254,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,alanine_pyruvate,Ala,Pyruvate,1478336,0.1559632841419892,1201111,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,lactate_pyruvate,Lactate,Pyruvate,1478331,0.39794682355463584,1219176,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478247,0.4595346134093826,1221888,1.3888888888888888e-09,0,0,0,0,0
age,False,UKB,phenylalanine_tyrosine,Phe,Tyr,1478339,0.37549121267388536,1218888,1.3888888888888888e-09,0,0,0,0,0
sex,False,BBJ,alanine_glutamine,Ala,Gln,1009438,0.18109969544631765,818781,1.3888888888888888e-09,53,2,0,2,1
sex,False,BBJ,alanine_glycine,Ala,Gly,1009440,0.15771999506274828,814820,1.3888888888888888e-09,108,1,1,1,1
sex,False,BBJ,alanine_pyruvate,Ala,Pyruvate,1009433,0.2784594021519812,823857,1.3888888888888888e-09,0,0,0,0,0
sex,False,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009428,0.2520040640068769,820805,1.3888888888888888e-09,0,0,0,0,0
sex,False,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008603,0.27499246437181646,826453,1.3888888888888888e-09,0,0,0,0,0
sex,False,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009427,0.3411996694383811,828152,1.3888888888888888e-09,0,0,0,0,0
sex,False,UKB,alanine_glutamine,Ala,Gln,1478308,0.12791672120798198,1199761,1.3888888888888888e-09,0,0,0,0,0
sex,False,UKB,alanine_glycine,Ala,Gly,1478320,0.10534118723248023,1195056,1.3888888888888888e-09,252,5,4,3,1
sex,False,UKB,alanine_pyruvate,Ala,Pyruvate,1478336,0.15917304577063082,1199650,1.3888888888888888e-09,0,0,0,0,0
sex,False,UKB,lactate_pyruvate,Lactate,Pyruvate,1478331,0.388954607624971,1220453,1.3888888888888888e-09,0,0,0,0,0
sex,False,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478247,0.46891525187923555,1228136,1.3888888888888888e-09,0,0,0,0,0
sex,False,UKB,phenylalanine_tyrosine,Phe,Tyr,1478339,0.36737871099837965,1216383,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,BBJ,alanine_glutamine,Ala,Gln,1009424,0.1761445907678718,820317,1.3888888888888888e-09,5,1,0,1,0
ever_drinking,True,BBJ,alanine_glycine,Ala,Gly,1009430,0.15848634494695746,814650,1.3888888888888888e-09,51,1,1,1,0
ever_drinking,True,BBJ,alanine_pyruvate,Ala,Pyruvate,1009412,0.28962308997035735,825592,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009412,0.2505433883542481,824491,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008604,0.2855789486005808,823434,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,BBJ,phenylalanine_tyrosine,Phe,Tyr,1009414,0.3400311749102236,830090,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,alanine_glutamine,Ala,Gln,1478316,0.13241257509248971,1199112,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,alanine_glycine,Ala,Gly,1478326,0.04626003886981833,1195530,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,alanine_pyruvate,Ala,Pyruvate,1478342,0.19120209856484033,1204969,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,lactate_pyruvate,Lactate,Pyruvate,1478334,0.407135837821952,1227578,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1478257,0.42874515862324736,1226125,1.3888888888888888e-09,0,0,0,0,0
ever_drinking,True,UKB,phenylalanine_tyrosine,Phe,Tyr,1478341,0.37288417120055634,1220747,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,BBJ,alanine_glutamine,Ala,Gln,1009409,0.19269189963591987,817887,1.3888888888888888e-09,15,2,0,2,0
ever_smoking,True,BBJ,alanine_glycine,Ala,Gly,1009412,0.15645256304456703,815215,1.3888888888888888e-09,79,1,1,1,0
ever_smoking,True,BBJ,alanine_pyruvate,Ala,Pyruvate,1009398,0.28525497321884635,823369,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,BBJ,lactate_pyruvate,Lactate,Pyruvate,1009398,0.24980649616053555,823658,1.3888888888888888e-09,0,0,0,0,0
ever_smoking,True,BBJ,acetoacetate_hydroxybutyrate,Acetoacetate,bOHbutyrate,1008600,0.27887021609231455,827097,1.3888888888888888e-09,0,0,0,0,0
