excluded_subsystem,effect_sd
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.11967216290022671
Pyrimidine metabolism,0.1262305056807566
Phenylalanine metabolism,0.12943361089070735
Purine metabolism,0.1325923078315268
Histidine metabolism,0.13540622251656487
Nucleotide metabolism,0.13562982404897486
Peptide metabolism,0.1358033456879134
Nicotinate and nicotinamide metabolism,0.13617255503103
Beta-alanine metabolism,0.13753960702448353
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.13811503577134587
Pyruvate metabolism,0.13829386646440034
Isolated,0.13903255044501356
Inositol phosphate metabolism,0.14003157994266244
Aminoacyl-tRNA biosynthesis,0.14112428480501005
"Alanine, aspartate and glutamate metabolism",0.14119968637079697
Bile acid biosynthesis,0.1418962174690476
Glycerophospholipid metabolism,0.14299998567051175
"Valine, leucine, and isoleucine metabolism",0.1440032900652369
Arginine and proline metabolism,0.1442906754535566
"Glycine, serine and threonine metabolism",0.14810781867092604
