target,expected_random_rmse_sd,factorized_rmse_sd,effect_sd,subsystem
AMP,0.77508875223723,0.4111321460112759,0.36395660622595405,Purine metabolism
CMP,0.8747694853477181,0.5205147331591305,0.3542547521885876,Nucleotide metabolism
GMP,0.8068185306236322,0.4894928717251097,0.3173256588985225,Purine metabolism
NAD,0.8347175232445929,0.6248033627337262,0.20991416051086675,Nicotinate and nicotinamide metabolism
NADP,1.0315360831869742,0.8868452877469701,0.14469079544000407,Arginine and proline metabolism
UMP,0.8240088100692855,0.3584553796525755,0.46555343041671,Pyrimidine metabolism
acetylcholine,0.9939749346469183,0.9775188652664413,0.016456069380477056,Glycerophospholipid metabolism
aconitate,0.9581510325991605,0.47968251358153247,0.478468519017628,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
adenine,1.0023230396570613,0.9790126793445546,0.02331036031250666,Nucleotide metabolism
adenosine,1.0724964776221053,0.9483630443459022,0.12413343327620308,Purine metabolism
alanine,0.8608607789614824,0.8673787412449926,-0.006517962283510204,"Alanine, aspartate and glutamate metabolism"
arginine,0.8650853101580094,0.6859994500938009,0.17908586006420846,Arginine and proline metabolism
asparagine,1.0969233817476323,0.9812737517492665,0.11564962999836581,"Alanine, aspartate and glutamate metabolism"
aspartate,1.0326336074209679,0.9976461590619886,0.03498744835897927,"Alanine, aspartate and glutamate metabolism"
beta-alanine,0.8931594820119606,0.9384276727937519,-0.04526819078179134,Beta-alanine metabolism
betaine,0.876327023861833,0.7952668947731993,0.08106012908863369,"Glycine, serine and threonine metabolism"
cAMP,1.0022283171894366,0.9397117836257587,0.06251653356367792,Purine metabolism
carnosine,0.9301623756532249,0.6521003248113376,0.2780620508418873,Beta-alanine metabolism
choline,1.0587660549495084,0.9787329989557204,0.08003305599378796,Glycerophospholipid metabolism
citrate,0.9174358427366729,0.4152820925142585,0.5021537502224144,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
citrulline,0.7686985225434103,0.7915217668991016,-0.022823244355691275,Arginine and proline metabolism
cytidine,0.9652828017431746,0.7090002974967359,0.2562825042464387,Pyrimidine metabolism
dimethylglycine,0.719605114178208,0.6463689322123545,0.07323618196585358,"Glycine, serine and threonine metabolism"
glucuronate,0.843880798324587,0.861649107600034,-0.017768309275447036,Inositol phosphate metabolism
glutamate,1.0571365935337762,0.7995373683935736,0.2575992251402026,"Alanine, aspartate and glutamate metabolism"
glutamine,0.9828203329501981,0.9064265172164319,0.07639381573376625,"Alanine, aspartate and glutamate metabolism"
glycine,1.1176182421935779,0.8624904633292683,0.2551277788643096,Histidine metabolism
guanosine,1.019174559721095,1.033558682725826,-0.01438412300473102,Purine metabolism
histidine,0.8852221558922405,0.7136787090062614,0.1715434468859791,Beta-alanine metabolism
homocysteine,1.0188592755440455,0.9563507909134848,0.06250848463056069,"Glycine, serine and threonine metabolism"
hypoxanthine,0.9861742181881594,0.8470824685430809,0.13909174964507853,Purine metabolism
inosine,0.9609811467702221,0.8068556540784153,0.15412549269180675,Purine metabolism
inositol,1.0049089020603497,1.008302303312148,-0.0033934012517984335,Glycerophospholipid metabolism
isocitrate,0.9079141037478579,0.4073244549834388,0.500589648764419,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
isoleucine,0.9429266921338281,1.0062734133522653,-0.06334672121843721,"Valine, leucine, and isoleucine metabolism"
kynurenine,1.0260303305807343,1.0174244195140472,0.008605911066687177,"Phenylalanine, tyrosine and tryptophan biosynthesis"
leucine,0.7851196528442214,0.5534221410894757,0.23169751175474562,Peptide metabolism
lysine,0.9007946485412358,0.9830325446951924,-0.0822378961539566,Aminoacyl-tRNA biosynthesis
malate,0.8704186150028421,0.7856618290608256,0.08475678594201652,Pyruvate metabolism
methionine,0.8239319757109153,0.8586685361384794,-0.03473656042756412,"Glycine, serine and threonine metabolism"
ornithine,0.9124707554222748,0.7571920680559053,0.15527868736636952,Arginine and proline metabolism
oxalate,0.9721440684382646,0.9109022015137856,0.06124186692447897,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
