model,targets,mean_equal_lineage_rmse_sd,median_target_r2,positive_r2_targets,setting
all_metabolites_ridge,60,0.6379657881057545,0.5673446732603386,58,primary
factorized_interaction_ridge,60,0.7967808043874182,0.24103722510950498,52,primary
network_additive_ridge,60,0.7877179952494064,0.26981900541547293,53,primary
network_metabolites_ridge,60,0.7984787358427333,0.24060507246300072,53,primary
population_mean,60,0.9853038145230948,0.0,0,primary
random_factorized_ridge,60,0.9203227803157856,0.04467150167182965,39,primary
all_metabolites_ridge,49,0.6340728971314394,0.5700621074883401,48,reaction_max_4
factorized_interaction_ridge,49,0.8637912757444393,0.19326000611562277,40,reaction_max_4
network_additive_ridge,49,0.8559399036649433,0.19539191161102343,40,reaction_max_4
network_metabolites_ridge,49,0.8728499671623264,0.12145609578626415,42,reaction_max_4
population_mean,49,0.9904238735015227,0.0,0,reaction_max_4
random_factorized_ridge,49,0.9477960996827823,0.05313826437979208,33,reaction_max_4
all_metabolites_ridge,59,0.6441897030005881,0.564627239032337,57,reaction_max_6
factorized_interaction_ridge,59,0.8202874783978711,0.23649920215503928,52,reaction_max_6
network_additive_ridge,59,0.810846207107281,0.2427958451753821,53,reaction_max_6
network_metabolites_ridge,59,0.8285249936599356,0.21627362263114414,53,reaction_max_6
population_mean,59,0.9853518907102778,0.0,0,reaction_max_6
random_factorized_ridge,59,0.9190607549063513,0.038188767979228544,39,reaction_max_6
all_metabolites_ridge,60,0.6379657881057545,0.5673446732603386,58,reaction_max_12
factorized_interaction_ridge,60,0.7948532802456861,0.25265473922405807,52,reaction_max_12
network_additive_ridge,60,0.784161117510974,0.2781232592854961,53,reaction_max_12
network_metabolites_ridge,60,0.7957839187437098,0.26295116301026106,53,reaction_max_12
population_mean,60,0.9853038145230948,0.0,0,reaction_max_12
random_factorized_ridge,60,0.9258957910319332,0.042700482611369606,41,reaction_max_12
all_metabolites_ridge,60,0.6379657881057545,0.5673446732603386,58,reaction_unbounded
factorized_interaction_ridge,60,0.7950879621809241,0.25265473922405807,52,reaction_unbounded
network_additive_ridge,60,0.7841244772379135,0.2781232592854961,53,reaction_unbounded
network_metabolites_ridge,60,0.7957839187437098,0.26295116301026106,53,reaction_unbounded
population_mean,60,0.9853038145230948,0.0,0,reaction_unbounded
random_factorized_ridge,60,0.9201035949252366,0.041858137817264884,44,reaction_unbounded
all_metabolites_ridge,63,0.634312625160216,0.5700621074883401,61,include_transport
factorized_interaction_ridge,63,0.7086228011011545,0.46915483769149313,58,include_transport
network_additive_ridge,63,0.6943562703659221,0.4761698683669926,59,include_transport
network_metabolites_ridge,63,0.7068603310904075,0.4044074391031566,61,include_transport
population_mean,63,0.9865683196818184,0.0,0,include_transport
random_factorized_ridge,63,0.927981116830291,0.08177678773395769,48,include_transport
all_metabolites_ridge,60,0.644881458141998,0.5618463030142924,58,alpha_1
factorized_interaction_ridge,60,0.7985176310520832,0.23714550413099084,52,alpha_1
network_additive_ridge,60,0.788118693987007,0.2668141925675137,53,alpha_1
network_metabolites_ridge,60,0.7985856336199846,0.23880347815097325,53,alpha_1
population_mean,60,0.9853038145230948,0.0,0,alpha_1
random_factorized_ridge,60,0.9223271340152309,0.04339338873541276,37,alpha_1
all_metabolites_ridge,60,0.6318584866777243,0.5634087283765887,59,alpha_100
factorized_interaction_ridge,60,0.7936778961097092,0.251749309538959,53,alpha_100
network_additive_ridge,60,0.7880909501087289,0.27597688796388486,54,alpha_100
network_metabolites_ridge,60,0.8004493421241865,0.2490541404247515,53,alpha_100
population_mean,60,0.9853038145230948,0.0,0,alpha_100
random_factorized_ridge,60,0.910698130416689,0.04465483968020395,46,alpha_100
all_metabolites_ridge,60,0.6379657881057545,0.5673446732603386,58,gpr_mean
factorized_interaction_ridge,60,0.796822438821216,0.24103722510950498,52,gpr_mean
network_additive_ridge,60,0.7878110521581213,0.26981900541547293,53,gpr_mean
network_metabolites_ridge,60,0.7984787358427333,0.24060507246300072,53,gpr_mean
population_mean,60,0.9853038145230948,0.0,0,gpr_mean
random_factorized_ridge,60,0.9200457536198243,0.04467150167182965,39,gpr_mean
all_metabolites_ridge,60,0.6379657881057545,0.5673446732603386,58,gpr_sum
factorized_interaction_ridge,60,0.7968224388214762,0.24103722510950498,52,gpr_sum
network_additive_ridge,60,0.7878110521581425,0.26981900541547293,53,gpr_sum
network_metabolites_ridge,60,0.7984787358427333,0.24060507246300072,53,gpr_sum
population_mean,60,0.9853038145230948,0.0,0,gpr_sum
random_factorized_ridge,60,0.9200457714828988,0.04467150167182965,39,gpr_sum
