setting,maximum_metabolites_per_reaction,include_transport,ridge_alpha,gpr_aggregation,candidate_rows,targets,signatures,mean_factorized_rmse_sd,median_factorized_target_r2,positive_r2_targets,rmse_improvement_vs_random_sd,random_ci_lower,random_ci_upper,rmse_improvement_vs_additive_sd,additive_ci_lower,additive_ci_upper
primary,8.0,False,10.0,limiting_subunit,317,60,169,0.7967808043874182,0.24103722510950498,52,0.12354197592836746,0.08389207512342488,0.166165558452044,-0.009062809138011607,-0.014686408596967395,-0.004438082133876498
reaction_max_4,4.0,False,10.0,limiting_subunit,139,49,75,0.8637912757444393,0.19326000611562277,40,0.08400482393834308,0.027852878244152987,0.1346689321393077,-0.007851372079495933,-0.01449183179797898,-0.0016975094321151618
reaction_max_6,6.0,False,10.0,limiting_subunit,263,59,154,0.8202874783978711,0.23649920215503928,52,0.09877327650848022,0.06031108806257978,0.14024606313808885,-0.009441271290590136,-0.014853613098502296,-0.004252989518348679
reaction_max_12,12.0,False,10.0,limiting_subunit,369,60,198,0.7948532802456861,0.25265473922405807,52,0.13104251078624707,0.08817023622704676,0.17551291657370424,-0.010692162734711963,-0.016446333980260987,-0.005414344094191368
reaction_unbounded,,False,10.0,limiting_subunit,373,60,202,0.7950879621809241,0.25265473922405807,52,0.1250156327443127,0.07972340039095031,0.17116050136256472,-0.010963484943010582,-0.01668898047462351,-0.005611181742159335
include_transport,8.0,True,10.0,limiting_subunit,691,63,192,0.7086228011011545,0.46915483769149313,58,0.21935831572913644,0.16942148526781622,0.27331824761074636,-0.014266530735232319,-0.019829323371613358,-0.00919180661969135
alpha_1,8.0,False,1.0,limiting_subunit,317,60,169,0.7985176310520832,0.23714550413099084,52,0.12380950296314774,0.0832477694219476,0.1657908908953703,-0.01039893706507633,-0.01567713418537233,-0.005219308488780489
alpha_100,8.0,False,100.0,limiting_subunit,317,60,169,0.7936778961097092,0.251749309538959,53,0.11702023430697972,0.07877062555400999,0.15690712616406902,-0.0055869460009804195,-0.009558973406193796,-0.002015674171592908
gpr_mean,8.0,False,10.0,mean,317,60,169,0.796822438821216,0.24103722510950498,52,0.12322331479860826,0.08587708760278193,0.166385415585139,-0.009011386663094645,-0.014384521716012922,-0.004370823245669007
gpr_sum,8.0,False,10.0,sum,317,60,169,0.7968224388214762,0.24103722510950498,52,0.12322333266142249,0.08260147015375863,0.16692054528307787,-0.009011386663333676,-0.01413203284675201,-0.004082585269701588
