dataset,mask,expected_nulls,unique_nulls,minimum_pairwise_jaccard,mean_pairwise_jaccard,maximum_pairwise_jaccard
ST002081,0,20,20,0.1120515920999597,0.11934380847555155,0.1298116298116298
ST002081,1,20,20,0.1110667996011964,0.1215956005803213,0.1311408850994722
ST002081,2,20,20,0.10789942585626608,0.11948803330200579,0.12890861408109744
ST002081,3,20,20,0.10944290794152509,0.11809103510800269,0.12771084337349398
ST002081,4,20,20,0.10416666666666667,0.11692978586993256,0.12788596667335878
ST000818,0,20,20,0.047180667433831994,0.060083043256943594,0.07248084855627578
ST000818,1,20,20,0.04871060171919771,0.061070031472249375,0.0745742806811509
ST000818,2,20,20,0.050400916380297825,0.062097297533454394,0.07629107981220658
ST000818,3,20,20,0.04788732394366197,0.06180457236973238,0.07390300230946882
ST000818,4,20,20,0.04405286343612335,0.06017753801694786,0.07604994324631101
