dataset,mask,null_index,null_seed,features,descriptors,edges,shared_observed_edges,edge_replacement_fraction,observed_null_jaccard,row_degrees_preserved,column_degrees_preserved,edge_digest
ST002081,0,0,20260900,390,95,2759,588,0.7868793040956868,0.11926977687626775,True,True,95a5a49618339cc2aec8055eafe866ba2e9ca145138a5ad4042a65793687b9f6
ST002081,0,1,20260901,390,95,2759,616,0.7767306995288148,0.12566299469604242,True,True,cb532954662ffcdfa0de1b0f0edca05a453905cfd67e3932f31eb16e6721ce16
ST002081,0,2,20260902,390,95,2759,599,0.7828923523015585,0.12177271803212035,True,True,1f64064183e55c8f2c0754b03f2791294f3d34fc0781a8751bdb231198ea0b23
ST002081,0,3,20260903,390,95,2759,571,0.7930409568684306,0.11542348898322216,True,True,f802b61720fae46a6a2e101e3119b71dcf95a52dd3a3908c9d361a2b6540687f
ST002081,0,4,20260904,390,95,2759,586,0.787604204421892,0.11881589618815896,True,True,c47a1a52aea6705105add4f98ea23132a7afb3cebb638db4fcf22a8f083adf92
ST002081,0,5,20260905,390,95,2759,633,0.7705690467560711,0.12958034800409415,True,True,1fc41e730209992e74aaf5ee98154f0aa4b66f3bc010e91569c6294760faaf9d
ST002081,0,6,20260906,390,95,2759,606,0.7803552011598405,0.12337133550488599,True,True,5405e60f21388fc603825b968f1ec1b690ecb2410b154fc1666cded825b7f885
ST002081,0,7,20260907,390,95,2759,586,0.787604204421892,0.11881589618815896,True,True,80745d307858d3b4ef2ff3fba49ecf8c63964f35150a57937dcdcec64c2ffea8
ST002081,0,8,20260908,390,95,2759,631,0.7712939470822762,0.1291180683445877,True,True,daf0080c07ad4bc0c3eb78e717a61a4cfdc0a5d6104124b11e2aea36cde60936
ST002081,0,9,20260909,390,95,2759,571,0.7930409568684306,0.11542348898322216,True,True,49025611d42702de1b3bb5cf5b6965ac76a5dd28e6ebb166edce4717ac765f81
ST002081,0,10,20260910,390,95,2759,588,0.7868793040956868,0.11926977687626775,True,True,e7dec8604a2bb9fe0667b9970b9970bdd8af1c980b6babe5cb495e1c530d2948
ST002081,0,11,20260911,390,95,2759,614,0.7774555998550199,0.12520391517128873,True,True,ddeb432b22a04cb00cd5606e7cbc7917ac8fac6184c04e26440b8c37ca502616
ST002081,0,12,20260912,390,95,2759,585,0.7879666545849946,0.11858909385769309,True,True,0bd3d065f2d5ccd927732f018e51498ca80a8a098a0bec0c7b86072c6b40b463
ST002081,0,13,20260913,390,95,2759,593,0.785067053280174,0.12040609137055838,True,True,cab3e7f5c964e5c5f146d6e7c1de1d2d2368b023bfba7daa2aec9bbe048f3a5e
