dataset,setting,ridge_alpha,minimum_features,maximum_feature_fraction,swaps_per_edge,descriptors,structural_rmse_sd,random_rmse_sd,structural_precision_at_k,random_precision_at_k,reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper,row_degrees_preserved,column_degrees_preserved
ST000818,alpha_1,1.0,5,0.9,10,81,1.2878486951305674,1.7877650858522807,0.5542222222222222,0.4539259259259259,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5109613527756385,0.06187892577541484,0.9027465135915915,0.10029629629629644,0.08399999999999991,0.1167407407407407,True,True
ST000818,alpha_100,100.0,5,0.9,10,81,1.2528746733509226,1.786146350115974,0.5672592592592592,0.49377777777777776,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5428127804673961,0.041241237204539156,0.9691797491865983,0.07348148148148137,0.05762962962962964,0.09659629629629625,True,True
ST000818,descriptor_max_080,10.0,5,0.8,10,81,1.237399159032854,1.7669688976539288,0.5739259259259258,0.4717037037037037,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5405908177005805,0.062161582523038474,0.9602471333452902,0.10222222222222216,0.08473703703703686,0.1206,True,True
ST000818,descriptor_max_095,10.0,5,0.95,10,81,1.237399159032854,1.7866674581533828,0.5739259259259258,0.47155555555555556,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5608942366008547,0.06805340952261152,0.9931570392636767,0.10237037037037033,0.08637037037037043,0.11897407407407404,True,True
ST000818,descriptor_min_10,10.0,10,0.9,10,41,1.7640770598339486,1.8204516631336933,0.49037037037037046,0.393037037037037,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.0560042607074589,0.04170056914896842,0.12044936518984978,0.09733333333333338,0.08133333333333342,0.11407407407407394,True,True
ST000818,descriptor_min_3,10.0,3,0.9,10,112,1.1914540318095905,1.682427037743419,0.5973333333333334,0.5244444444444445,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.4970529015203682,0.05015805847052291,0.8822945070980052,0.07288888888888889,0.05422222222222228,0.09230370370370368,True,True
ST000818,primary,10.0,5,0.9,10,81,1.237399159032854,1.7901737298759668,0.5739259259259258,0.4712592592592593,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.563216310721687,0.056573313238844736,1.0064132619029076,0.10266666666666657,0.08547777777777774,0.12074074074074043,True,True
ST000818,swaps_25,10.0,5,0.9,25,81,1.237399159032854,1.772906540016808,0.5739259259259258,0.48133333333333334,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5472392425932906,0.05693657341429184,0.9746630540044378,0.09259259259259256,0.07140370370370372,0.11259259259259263,True,True
ST000818,swaps_5,10.0,5,0.9,5,81,1.237399159032854,1.7941509322245062,0.5739259259259258,0.4718518518518518,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,2000,0.5685727117832948,0.0644892074561246,1.0054830591216168,0.10207407407407404,0.08192222222222215,0.12459629629629622,True,True
ST002081,alpha_1,1.0,5,0.9,10,95,0.3106048724147884,0.4080748961917393,0.8852068442711717,0.7393978774095732,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.10215703421927652,0.09659707141850722,0.1077919454186084,0.141760164339782,0.1289568648484073,0.15543298017932147,True,True
ST002081,alpha_100,100.0,5,0.9,10,95,0.3264498475919314,0.431757755065642,0.8780160277236299,0.7333766515053065,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.10543892875508487,0.0987786838865286,0.11213511961959899,0.13919330178918166,0.12477277951908997,0.1530864665933059,True,True
ST002081,descriptor_max_080,10.0,5,0.8,10,95,0.30912170664436084,0.40738361503977183,0.8876759800736408,0.7503573749187784,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.10072348166927114,0.0954442713670074,0.10640429878203286,0.13295130366068264,0.11933178307073626,0.1463015375801122,True,True
ST002081,descriptor_max_095,10.0,5,0.95,10,95,0.30912170664436084,0.40979331271796876,0.8876759800736408,0.7476283300844704,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.1032460969983034,0.09709377125448981,0.10969259644880984,0.13981898544534987,0.12672432260174962,0.15342398692399037,True,True
ST002081,descriptor_min_10,10.0,10,0.9,10,69,0.34305627319210447,0.4483988060051717,0.8601256226987221,0.6905782975958414,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.10890098323269048,0.1026965841062296,0.11560553447930993,0.1785000546047547,0.16140080853691244,0.19528214491810122,True,True
ST002081,descriptor_min_3,10.0,3,0.9,10,112,0.28988669551905666,0.3753285794297475,0.9043101581113276,0.7942820012995452,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.08871304431196553,0.08438677034615026,0.09304531672130917,0.10779570512580217,0.09504182581562996,0.11999386382644497,True,True
ST002081,primary,10.0,5,0.9,10,95,0.30912170664436084,0.4105023088622935,0.8876759800736408,0.7474550573965778,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.10371555559725287,0.09826276408690127,0.10909486773729742,0.13264455692813082,0.11908880308791783,0.14775102134658655,True,True
ST002081,swaps_25,10.0,5,0.9,25,95,0.30912170664436084,0.3990037576087775,0.8876759800736408,0.7537361923326835,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.09327908095887849,0.08773271752574417,0.0992844664266096,0.12634620905548266,0.11437914465097301,0.13896679498971237,True,True
ST002081,swaps_5,10.0,5,0.9,5,95,0.30912170664436084,0.40355972149714675,0.8876759800736408,0.7587611002815681,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,2000,0.09704066322723676,0.09219441022079553,0.10211276743059565,0.12650575106717965,0.11276566658188406,0.13993111426754845,True,True
