signature,genes,gene_count,candidate_rows,reaction_ids,subsystems,complete_expression_signature,used_by_prediction_target
AADAT,AADAT,1,2,MAR02765;MAR04197,"Alanine, aspartate and glutamate metabolism;Tryptophan metabolism",True,True
AARS1,AARS1,1,1,MAR05131,Aminoacyl-tRNA biosynthesis,False,False
AASS,AASS,1,3,MAR04288;MAR04667;MAR04668,Lysine metabolism,True,True
ABAT,ABAT,1,1,MAR04330,Beta-alanine metabolism,True,True
ACHE,ACHE,1,1,MAR00641,Glycerophospholipid metabolism,True,True
ACO1,ACO1,1,1,MAR04454,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,True,True
ACO2,ACO2,1,2,MAR04458;MAR04589,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,True,True
ACP3,ACP3,1,4,MAR04010;MAR04177;MAR04270;MAR04449,Nicotinate and nicotinamide metabolism;Purine metabolism;Pyrimidine metabolism,False,False
ACP4,ACP4,1,1,MAR04270,Nicotinate and nicotinamide metabolism,False,False
ACP5,ACP5,1,1,MAR04270,Nicotinate and nicotinamide metabolism,True,True
ACP6,ACP6,1,1,MAR04270,Nicotinate and nicotinamide metabolism,True,True
ACP7,ACP7,1,1,MAR04270,Nicotinate and nicotinamide metabolism,False,False
ACY3,ACY3,1,1,MAR05336,Histidine metabolism,True,True
ADA,ADA,1,1,MAR04481,Purine metabolism,True,True
ADA2,ADA2,1,1,MAR04481,Purine metabolism,False,False
ADK,ADK,1,1,MAR04012,Purine metabolism,True,True
AGXT,AGXT,1,2,MAR04198;MAR04788,"Glycine, serine and threonine metabolism",True,True
AGXT2,AGXT2,1,1,MAR04788,"Glycine, serine and threonine metabolism",True,True
AHCY,AHCY,1,1,MAR03877,Cysteine and methionine metabolism,True,True
AHCYL2,AHCYL2,1,1,MAR03877,Cysteine and methionine metabolism,True,True
AICDA,AICDA,1,1,MAR04580,Pyrimidine metabolism,True,True
AKR1A1,AKR1A1,1,1,MAR06537,Pentose and glucuronate interconversions,True,True
ALDH1B1,ALDH1B1,1,2,MAR00088;MAR04079,Beta-alanine metabolism,True,True
ALDH2,ALDH2,1,2,MAR00088;MAR04079,Beta-alanine metabolism,True,True
ALDH3A2,ALDH3A2,1,2,MAR04079;MAR07993,Beta-alanine metabolism,True,True
ALDH4A1,ALDH4A1,1,1,MAR03806,Arginine and proline metabolism,True,True
ALDH7A1,ALDH7A1,1,4,MAR04079;MAR04697;MAR04698;MAR07993,"Beta-alanine metabolism;Glycine, serine and threonine metabolism",True,True
ALDH9A1,ALDH9A1,1,2,MAR04079;MAR07993,Beta-alanine metabolism,True,True
APOBEC4,APOBEC4,1,1,MAR04580,Pyrimidine metabolism,True,True
APRT,APRT,1,1,MAR04085,Purine metabolism,True,True
ARG1,ARG1,1,1,MAR03816,Arginine and proline metabolism,True,True
ARG2,ARG2,1,1,MAR08426,Arginine and proline metabolism,True,True
ASPG,ASPG,1,1,MAR03862,"Alanine, aspartate and glutamate metabolism",True,True
ASRGL1,ASRGL1,1,1,MAR03862,"Alanine, aspartate and glutamate metabolism",True,True
ASS1,ASS1,1,3,MAR03811,"Alanine, aspartate and glutamate metabolism",True,True
BAAT,BAAT,1,3,MAR01667;MAR01841;MAR01844,Bile acid biosynthesis,True,True
BCAT1,BCAT1,1,3,MAR03747;MAR03777;MAR06923,"Valine, leucine, and isoleucine metabolism",True,True
