target,samples,lineages,network_metabolites,network_signatures,network_interactions,random_metabolites,random_signatures,random_interactions,network_metabolite_count,network_signature_count,network_interaction_count
AMP,876,18,CMP;GMP;NAD;UMP;adenine;adenosine;aspartate;beta-alanine;cAMP;carnosine;citrulline;glycine;histidine;phenylalanine;taurine,ADK;APRT;ASS1;BAAT;CARNS1;DCK;FARSA;FARSB;GMPS;NADSYN1;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3B;NT5E;NT5M;NUDT12;PDE10A;PDE11A;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE4A;PDE4B;PDE4C;PDE4D;PDE6C;PDE6G;PDE6H;PDE7A;PDE7B;PDE8A;PDE8B;RAD1;RAD9A;RBAK;TREX1;TREX2,CMP*RAD1;RAD9A;CMP*TREX1;CMP*TREX2;GMP*GMPS;GMP*RAD1;RAD9A;GMP*TREX1;GMP*TREX2;NAD*NADSYN1;NAD*NUDT12;UMP*RAD1;RAD9A;UMP*TREX1;UMP*TREX2;adenine*APRT;adenosine*ADK;adenosine*DCK;adenosine*NT5C;adenosine*NT5C1A;adenosine*NT5C1B;adenosine*NT5C2;adenosine*NT5C3B;adenosine*NT5E;adenosine*NT5M;adenosine*RBAK;aspartate*ASS1;beta-alanine*CARNS1;cAMP*PDE10A;cAMP*PDE11A;cAMP*PDE1A;cAMP*PDE1B;cAMP*PDE1C;cAMP*PDE2A;cAMP*PDE3A;cAMP*PDE3B;cAMP*PDE4A;cAMP*PDE4B;cAMP*PDE4C;cAMP*PDE4D;cAMP*PDE6C;cAMP*PDE6G;cAMP*PDE6H;cAMP*PDE7A;cAMP*PDE7B;cAMP*PDE8A;cAMP*PDE8B;carnosine*CARNS1;citrulline*ASS1;glycine*BAAT;histidine*CARNS1;phenylalanine*FARSA;FARSB;taurine*BAAT,allantoin;citrate;cytidine;dCMP;glucuronate;homocysteine;inosine;inositol;lactose;sarcosine;sucrose;taurocholate;threonine;uracil;uridine,AASS;ACP5;AGXT2;AHCY;AHCYL2;AICDA;ALDH3A2;ALDH4A1;BCAT1;BCHE;BHMT;CDA;CDIPT;CMA1;CNDP1;DPEP1;DPYD;FMO1;GFPT1;GFPT2;GLS;GMPR2;GOT1;GOT1L1;GOT2;GPT;IDH1;KMO;LDHB;ME1;NADK2;NOS3;OTC;PAH;PEPD;SCCPDH;SIRT1;SIRT5;SIRT7;XDH,allantoin*AASS;allantoin*CNDP1;allantoin*GOT1;allantoin*GOT1L1;allantoin*LDHB;citrate*CMA1;citrate*NADK2;citrate*SIRT1;cytidine*DPEP1;glucuronate*ALDH3A2;glucuronate*LDHB;glucuronate*SCCPDH;homocysteine*DPEP1;inosine*FMO1;inosine*GPT;inosine*SIRT1;inosine*SIRT5;inositol*AHCY;inositol*BCAT1;inositol*DPEP1;lactose*ALDH4A1;lactose*FMO1;lactose*GPT;sarcosine*AGXT2;sarcosine*GMPR2;sarcosine*SIRT1;sucrose*AHCY;sucrose*AICDA;sucrose*IDH1;sucrose*SIRT5;taurocholate*AASS;taurocholate*AGXT2;taurocholate*GFPT2;taurocholate*GPT;taurocholate*NOS3;threonine*AHCYL2;threonine*ALDH3A2;threonine*CMA1;threonine*ME1;uracil*BCHE;uracil*GLS;uracil*GOT1L1;uracil*OTC;uracil*SCCPDH;uracil*SIRT1;uracil*XDH;uridine*ACP5;uridine*AHCY;uridine*GFPT2;uridine*LDHB,15,40,50
CMP,876,18,AMP;GMP;UMP;cytidine;inositol,CDIPT;NT5C1A;NT5C1B;NT5C2;NT5C3A;NT5C3B;NT5E;RAD1;RAD9A;RBAK;TREX1;TREX2;UCK1;UCK2;UCKL1,AMP*RAD1;RAD9A;AMP*TREX1;AMP*TREX2;GMP*RAD1;RAD9A;GMP*TREX1;GMP*TREX2;UMP*RAD1;RAD9A;UMP*TREX1;UMP*TREX2;cytidine*NT5C1A;cytidine*NT5C1B;cytidine*NT5C2;cytidine*NT5C3A;cytidine*NT5C3B;cytidine*NT5E;cytidine*RBAK;cytidine*UCK1;cytidine*UCK2;cytidine*UCKL1;inositol*CDIPT,hypoxanthine;isoleucine;lysine;uridine;xanthosine,ABAT;AHCY;ARG2;DPYD;FARSA;FARSB;GATM;GMPR2;GPT2;KLK1;KMO;LDHC;MDH2;RWDD2A;TPP1,hypoxanthine*AHCY;hypoxanthine*GPT2;hypoxanthine*LDHC;hypoxanthine*TPP1;isoleucine*DPYD;isoleucine*GMPR2;isoleucine*GPT2;isoleucine*KMO;isoleucine*MDH2;lysine*ABAT;lysine*LDHC;uridine*GMPR2;uridine*KLK1;xanthosine*ABAT;xanthosine*AHCY;xanthosine*DPYD;xanthosine*GATM;xanthosine*KLK1;xanthosine*LDHC;xanthosine*RWDD2A,5,14,20
GMP,876,18,AMP;CMP;NADP;UMP;guanosine,GMPR;GMPR2;GMPS;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3A;NT5C3B;NT5E;NT5M;RAD1;RAD9A;RBAK;TREX1;TREX2,AMP*GMPS;AMP*RAD1;RAD9A;AMP*TREX1;AMP*TREX2;CMP*RAD1;RAD9A;CMP*TREX1;CMP*TREX2;NADP*GMPR;NADP*GMPR2;UMP*RAD1;RAD9A;UMP*TREX1;UMP*TREX2;guanosine*NT5C;guanosine*NT5C1A;guanosine*NT5C1B;guanosine*NT5C2;guanosine*NT5C3A;guanosine*NT5C3B;guanosine*NT5E;guanosine*NT5M;guanosine*RBAK,adenosine;cytidine;isoleucine;putrescine;uracil,AADAT;AASS;ABAT;ACY3;ALDH3A2;BCAT2;GFPT2;GNMT;GOT1;KLK1;KLK2;PDE6H;PYCR2;SARDH;SHMT1,adenosine*ABAT;adenosine*KLK2;adenosine*SARDH;cytidine*AADAT;cytidine*AASS;cytidine*ALDH3A2;cytidine*GFPT2;cytidine*SHMT1;isoleucine*AASS;isoleucine*GOT1;isoleucine*PDE6H;isoleucine*SARDH;putrescine*AASS;putrescine*ABAT;putrescine*ALDH3A2;putrescine*BCAT2;putrescine*GNMT;putrescine*SARDH;uracil*ALDH3A2;uracil*GNMT;uracil*GOT1,5,15,21
NAD,876,18,AMP;NADP;beta-alanine;betaine;choline;glutamate;hypoxanthine;isocitrate;malate;oxalate;proline;taurine;thymine;urate;xanthine,AASS;ACP5;ACP6;ALDH1B1;ALDH2;ALDH3A2;ALDH4A1;ALDH7A1;ALDH9A1;CHDH;DPYD;FMO1;GLUD1;GLUD2;IDH3A;IDH3B;IDH3G;LDHAL6A;LDHAL6B;LDHB;LDHC;LDHD;MDH1;MDH1B;MDH2;ME2;ME3;NADK;NADK2;NADSYN1;NUDT12;PYCR1;PYCR2;SCCPDH;XDH,AMP*NADSYN1;AMP*NUDT12;NADP*ACP5;NADP*ACP6;NADP*NADK;NADP*NADK2;beta-alanine*ALDH1B1;beta-alanine*ALDH2;beta-alanine*ALDH3A2;beta-alanine*ALDH7A1;beta-alanine*ALDH9A1;betaine*ALDH7A1;choline*CHDH;glutamate*AASS;glutamate*ALDH4A1;glutamate*GLUD1;glutamate*GLUD2;glutamate*SCCPDH;hypoxanthine*XDH;isocitrate*IDH3A;IDH3B;IDH3G;malate*MDH1;malate*MDH1B;malate*MDH2;malate*ME2;malate*ME3;oxalate*LDHAL6A;oxalate*LDHAL6B;oxalate*LDHB;oxalate*LDHC;oxalate*LDHD;proline*PYCR1;proline*PYCR2;taurine*FMO1;thymine*DPYD;urate*XDH;xanthine*XDH,1-methylnicotinamide;4-pyridoxate;CMP;adenine;adenosine;alanine;allantoin;citrate;cytidine;glycine;inositol;isoleucine;leucine;thyroxine;trimethylamine-N-oxide,AADAT;ACY3;AGXT2;AHCYL2;APOBEC4;BAAT;BCAT1;BCAT2;BHMT;CAD;CHAT;DIO1;DPEP1;FMO2;GLUL;GNMT;MACROD1;ME1;NOS3;NT5C2;NT5C3B;NTAN1;OTC;PDE11A;PDE6G;PDE8B;PEPD;PPAT;RBAK;SARDH;SIRT6;TREX2;UPRT,1-methylnicotinamide*MACROD1;CMP*MACROD1;CMP*TREX2;adenine*CHAT;adenine*PEPD;adenosine*BAAT;alanine*APOBEC4;alanine*BAAT;alanine*BCAT1;alanine*DIO1;alanine*PDE11A;allantoin*BCAT1;allantoin*BHMT;allantoin*GLUL;citrate*FMO2;citrate*PEPD;cytidine*AADAT;cytidine*AGXT2;cytidine*PDE8B;glycine*PEPD;inositol*ACY3;inositol*ME1;isoleucine*CHAT;leucine*ACY3;leucine*APOBEC4;leucine*DPEP1;leucine*OTC;leucine*TREX2;thyroxine*ACY3;thyroxine*BHMT;thyroxine*CHAT;thyroxine*MACROD1;thyroxine*TREX2;trimethylamine-N-oxide*CHAT;trimethylamine-N-oxide*NTAN1;trimethylamine-N-oxide*TREX2,15,33,36
NADP,876,18,GMP;NAD;arginine;beta-alanine;betaine;citrulline;dimethylglycine;glucuronate;glutamate;isocitrate;kynurenine;lysine;malate;proline;sarcosine;thymine;thyroxine;trimethylamine-N-oxide;uracil,AASS;ACP5;ACP6;AKR1A1;ALDH1B1;ALDH2;ALDH3A2;ALDH7A1;ALDH9A1;DIO1;DIO2;DMGDH;DPYD;FMO1;FMO2;FMO3;FMO4;FMO5;GLUD1;GLUD2;GMPR;GMPR2;IDH1;IDH2;KMO;ME1;ME2;ME3;NADK;NADK2;NOS1;NOS2;NOS3;PDPR;PYCR1;PYCR2;RWDD2A,GMP*GMPR;GMP*GMPR2;NAD*ACP5;NAD*ACP6;NAD*NADK;NAD*NADK2;arginine*NOS1;arginine*NOS2;arginine*NOS3;beta-alanine*ALDH1B1;beta-alanine*ALDH2;beta-alanine*ALDH3A2;beta-alanine*ALDH7A1;beta-alanine*ALDH9A1;betaine*ALDH7A1;citrulline*NOS1;citrulline*NOS2;citrulline*NOS3;dimethylglycine*DMGDH;dimethylglycine*PDPR;glucuronate*AKR1A1;glutamate*AASS;glutamate*GLUD1;glutamate*GLUD2;isocitrate*IDH1;isocitrate*IDH2;kynurenine*KMO;lysine*AASS;malate*ME1;malate*ME2;malate*ME3;malate*RWDD2A;proline*PYCR1;proline*PYCR2;sarcosine*DMGDH;sarcosine*PDPR;thymine*DPYD;thyroxine*DIO1;thyroxine*DIO2;trimethylamine-N-oxide*FMO1;trimethylamine-N-oxide*FMO2;trimethylamine-N-oxide*FMO3;trimethylamine-N-oxide*FMO4;trimethylamine-N-oxide*FMO5;uracil*DPYD,4-pyridoxate;CMP;acetylcholine;creatinine;dCMP;erythrose-4-phosphate;guanosine;hippurate;histidine;homocysteine;inosine;leucine;pantothenate;serotonin;sucrose;thymidine;tryptophan;tyrosine;uridine,ACO1;ACO2;AGXT;AHCY;APOBEC4;APRT;ASRGL1;CAD;CDIPT;CNDP2;DPEP1;GLS;GLUL;GMPS;GNMT;GOT2;IDH3A;IDH3B;IDH3G;KLK2;MDH1B;MDH2;NT5C1A;NT5C3B;NT5M;NTAN1;OTC;PDE1B;PDE2A;PDE3A;PEPD;PPAT;RAD1;RAD9A;SHMT2;SIRT7;TREX2;UCK1;UCKL1;UPP2,4-pyridoxate*PDE1B;CMP*ACO1;CMP*CAD;CMP*GNMT;CMP*SHMT2;CMP*SIRT7;CMP*UCK1;CMP*UCKL1;creatinine*ASRGL1;creatinine*GMPS;creatinine*PDE3A;creatinine*UCKL1;erythrose-4-phosphate*APOBEC4;erythrose-4-phosphate*PDE1B;guanosine*GMPS;guanosine*SHMT2;homocysteine*APRT;homocysteine*KLK2;homocysteine*MDH2;inosine*CAD;inosine*KLK2;leucine*AGXT;leucine*MDH1B;pantothenate*PDE3A;serotonin*APRT;serotonin*GLUL;serotonin*NT5M;sucrose*ACO1;sucrose*IDH3A;IDH3B;IDH3G;sucrose*UCK1;sucrose*UPP2;thymidine*ACO1;thymidine*ASRGL1;thymidine*GLS;thymidine*PDE2A;thymidine*PEPD;tryptophan*AGXT;tryptophan*APOBEC4;tryptophan*APRT;tryptophan*MDH1B;tryptophan*NT5M;tyrosine*UCK1;uridine*KLK2;uridine*PDE3A;uridine*SHMT2,19,37,45
UMP,876,18,AMP;CMP;GMP;uracil;uridine,NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3A;NT5C3B;NT5E;NT5M;RAD1;RAD9A;TREX1;TREX2;UCK1;UCK2;UCKL1;UPRT,AMP*RAD1;RAD9A;AMP*TREX1;AMP*TREX2;CMP*RAD1;RAD9A;CMP*TREX1;CMP*TREX2;GMP*RAD1;RAD9A;GMP*TREX1;GMP*TREX2;uracil*UPRT;uridine*NT5C;uridine*NT5C1A;uridine*NT5C1B;uridine*NT5C2;uridine*NT5C3A;uridine*NT5C3B;uridine*NT5E;uridine*NT5M;uridine*UCK1;uridine*UCK2;uridine*UCKL1,betaine;taurocholate;thymidine;trimethylamine-N-oxide;tyrosine,AGXT2;ASPG;BCAT2;CDIPT;DPEP1;GLS;GMPS;LDHC;MACROD1;NOS3;PDE6C;PDE6H;PPAT;PTDSS1;SHMT2,betaine*NOS3;betaine*PDE6H;betaine*SHMT2;taurocholate*AGXT2;taurocholate*ASPG;taurocholate*GLS;taurocholate*LDHC;taurocholate*MACROD1;taurocholate*NOS3;thymidine*ASPG;thymidine*GMPS;thymidine*PDE6H;trimethylamine-N-oxide*DPEP1;trimethylamine-N-oxide*GLS;trimethylamine-N-oxide*PDE6C;trimethylamine-N-oxide*PTDSS1;tyrosine*AGXT2;tyrosine*MACROD1;tyrosine*NOS3;tyrosine*PDE6C;tyrosine*PPAT,5,15,21
acetylcholine,876,18,choline,ACHE;BCHE;CHAT,choline*ACHE;choline*BCHE;choline*CHAT,malonylcarnitine,NOS3;PDE6H;UPP1,malonylcarnitine*NOS3;malonylcarnitine*PDE6H;malonylcarnitine*UPP1,1,3,3
aconitate,876,18,citrate;isocitrate,ACO2,citrate*ACO2;isocitrate*ACO2,glycine;homocysteine,OAT,glycine*OAT;homocysteine*OAT,2,1,2
adenine,876,18,AMP;adenosine,APRT;PNP,AMP*APRT;adenosine*PNP,CMP;dCMP,ACY3;GFPT2,CMP*ACY3;CMP*GFPT2,2,2,2
adenosine,876,18,AMP;adenine;homocysteine;inosine,ADA;ADK;AHCY;AHCYL2;DCK;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3B;NT5E;NT5M;PNP;RBAK,AMP*ADK;AMP*DCK;AMP*NT5C;AMP*NT5C1A;AMP*NT5C1B;AMP*NT5C2;AMP*NT5C3B;AMP*NT5E;AMP*NT5M;AMP*RBAK;adenine*PNP;homocysteine*AHCY;homocysteine*AHCYL2;inosine*ADA,betaine;citrate;glycine;thyroxine,ALDH2;ALDH7A1;BHMT;CAD;GMPR;GMPS;KLK2;LDHD;MDH1B;NADSYN1;PYCR1;SHMT1;TYMP;UPP2,betaine*CAD;betaine*GMPS;betaine*NADSYN1;betaine*TYMP;citrate*BHMT;citrate*CAD;citrate*GMPS;citrate*KLK2;citrate*PYCR1;glycine*ALDH7A1;thyroxine*ALDH7A1;thyroxine*CAD;thyroxine*LDHD;thyroxine*MDH1B,4,14,14
