dataset,feature,family,complete,accepted,exclusion_reason,mask,raw_descriptors,filtered_descriptors,filtered_descriptor_count
ST002081,CE(14:0),CE,False,False,incomplete_across_eligible_samples,,acyl:14:0;chain_carbon:14;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:14;total_unsaturation:0,,0
ST002081,CE(14:1),CE,False,False,incomplete_across_eligible_samples,,acyl:14:1;chain_carbon:14;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:14;total_unsaturation:1,,0
ST002081,CE(15:0),CE,False,False,incomplete_across_eligible_samples,,acyl:15:0;chain_carbon:15;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:15;total_unsaturation:0,,0
ST002081,CE(16:0),CE,False,False,incomplete_across_eligible_samples,,acyl:16:0;chain_carbon:16;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:16;total_unsaturation:0,,0
ST002081,CE(16:1),CE,True,True,accepted,1.0,acyl:16:1;chain_carbon:16;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:16;total_unsaturation:1,acyl:16:1;chain_carbon:16;chain_unsaturation:1;family:CE;total_carbon:16;total_unsaturation:1,6
ST002081,CE(17:0),CE,False,False,incomplete_across_eligible_samples,,acyl:17:0;chain_carbon:17;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:17;total_unsaturation:0,,0
ST002081,CE(18:0),CE,False,False,incomplete_across_eligible_samples,,acyl:18:0;chain_carbon:18;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:18;total_unsaturation:0,,0
ST002081,CE(18:1),CE,True,True,accepted,2.0,acyl:18:1;chain_carbon:18;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:18;total_unsaturation:1,acyl:18:1;chain_carbon:18;chain_unsaturation:1;family:CE;total_carbon:18;total_unsaturation:1,6
ST002081,CE(18:2),CE,True,True,accepted,3.0,acyl:18:2;chain_carbon:18;chain_unsaturation:2;family:CE;family_unsaturation:CE:2;total_carbon:18;total_unsaturation:2,acyl:18:2;chain_carbon:18;chain_unsaturation:2;family:CE;total_carbon:18;total_unsaturation:2,6
ST002081,CE(18:3),CE,True,True,accepted,4.0,acyl:18:3;chain_carbon:18;chain_unsaturation:3;family:CE;family_unsaturation:CE:3;total_carbon:18;total_unsaturation:3,acyl:18:3;chain_carbon:18;chain_unsaturation:3;family:CE;total_carbon:18;total_unsaturation:3,6
ST002081,CE(18:4),CE,True,True,accepted,1.0,acyl:18:4;chain_carbon:18;chain_unsaturation:4;family:CE;family_unsaturation:CE:4;total_carbon:18;total_unsaturation:4,chain_carbon:18;chain_unsaturation:4;family:CE;total_carbon:18;total_unsaturation:4,5
ST002081,CE(20:0),CE,False,False,incomplete_across_eligible_samples,,acyl:20:0;chain_carbon:20;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:20;total_unsaturation:0,,0
ST002081,CE(20:1),CE,False,False,incomplete_across_eligible_samples,,acyl:20:1;chain_carbon:20;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:20;total_unsaturation:1,,0
ST002081,CE(20:2),CE,True,True,accepted,3.0,acyl:20:2;chain_carbon:20;chain_unsaturation:2;family:CE;family_unsaturation:CE:2;total_carbon:20;total_unsaturation:2,acyl:20:2;chain_carbon:20;chain_unsaturation:2;family:CE;total_carbon:20;total_unsaturation:2,6
ST002081,CE(20:3),CE,True,True,accepted,0.0,acyl:20:3;chain_carbon:20;chain_unsaturation:3;family:CE;family_unsaturation:CE:3;total_carbon:20;total_unsaturation:3,acyl:20:3;chain_carbon:20;chain_unsaturation:3;family:CE;total_carbon:20;total_unsaturation:3,6
ST002081,CE(20:4),CE,True,True,accepted,0.0,acyl:20:4;chain_carbon:20;chain_unsaturation:4;family:CE;family_unsaturation:CE:4;total_carbon:20;total_unsaturation:4,acyl:20:4;chain_carbon:20;chain_unsaturation:4;family:CE;total_carbon:20;total_unsaturation:4,6
ST002081,CE(20:5),CE,True,True,accepted,1.0,acyl:20:5;chain_carbon:20;chain_unsaturation:5;family:CE;family_unsaturation:CE:5;total_carbon:20;total_unsaturation:5,acyl:20:5;chain_carbon:20;chain_unsaturation:5;family:CE;total_carbon:20;total_unsaturation:5,6
ST002081,CE(22:0),CE,False,False,incomplete_across_eligible_samples,,acyl:22:0;chain_carbon:22;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:22;total_unsaturation:0,,0
ST002081,CE(22:1),CE,False,False,incomplete_across_eligible_samples,,acyl:22:1;chain_carbon:22;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:22;total_unsaturation:1,,0
ST002081,CE(22:2),CE,False,False,incomplete_across_eligible_samples,,acyl:22:2;chain_carbon:22;chain_unsaturation:2;family:CE;family_unsaturation:CE:2;total_carbon:22;total_unsaturation:2,,0
ST002081,CE(22:4),CE,True,True,accepted,2.0,acyl:22:4;chain_carbon:22;chain_unsaturation:4;family:CE;family_unsaturation:CE:4;total_carbon:22;total_unsaturation:4,acyl:22:4;chain_carbon:22;chain_unsaturation:4;family:CE;total_carbon:22;total_unsaturation:4,6
ST002081,CE(22:5),CE,True,True,accepted,4.0,acyl:22:5;chain_carbon:22;chain_unsaturation:5;family:CE;family_unsaturation:CE:5;total_carbon:22;total_unsaturation:5,acyl:22:5;chain_carbon:22;chain_unsaturation:5;family:CE;total_carbon:22;total_unsaturation:5,6
ST002081,CE(22:6),CE,True,True,accepted,0.0,acyl:22:6;chain_carbon:22;chain_unsaturation:6;family:CE;family_unsaturation:CE:6;total_carbon:22;total_unsaturation:6,acyl:22:6;chain_carbon:22;chain_unsaturation:6;family:CE;total_carbon:22;total_unsaturation:6,6
ST002081,CE(24:0),CE,False,False,incomplete_across_eligible_samples,,acyl:24:0;chain_carbon:24;chain_unsaturation:0;family:CE;family_unsaturation:CE:0;total_carbon:24;total_unsaturation:0,,0
ST002081,CE(24:1),CE,False,False,incomplete_across_eligible_samples,,acyl:24:1;chain_carbon:24;chain_unsaturation:1;family:CE;family_unsaturation:CE:1;total_carbon:24;total_unsaturation:1,,0
ST002081,CER(14:0),Cer,False,False,incomplete_across_eligible_samples,,acyl:14:0;chain_carbon:14;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:14;total_unsaturation:0,,0
ST002081,CER(16:0),Cer,False,False,incomplete_across_eligible_samples,,acyl:16:0;chain_carbon:16;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:16;total_unsaturation:0,,0
ST002081,CER(18:0),Cer,False,False,incomplete_across_eligible_samples,,acyl:18:0;chain_carbon:18;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:18;total_unsaturation:0,,0
ST002081,CER(20:0),Cer,False,False,incomplete_across_eligible_samples,,acyl:20:0;chain_carbon:20;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:20;total_unsaturation:0,,0
ST002081,CER(22:0),Cer,True,False,unrecognized_or_undersized_lipid_family,,acyl:22:0;chain_carbon:22;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:22;total_unsaturation:0,,0
ST002081,CER(22:1),Cer,False,False,incomplete_across_eligible_samples,,acyl:22:1;chain_carbon:22;chain_unsaturation:1;family:Cer;family_unsaturation:Cer:1;total_carbon:22;total_unsaturation:1,,0
ST002081,CER(24:0),Cer,True,False,unrecognized_or_undersized_lipid_family,,acyl:24:0;chain_carbon:24;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:24;total_unsaturation:0,,0
ST002081,CER(24:1),Cer,True,False,unrecognized_or_undersized_lipid_family,,acyl:24:1;chain_carbon:24;chain_unsaturation:1;family:Cer;family_unsaturation:Cer:1;total_carbon:24;total_unsaturation:1,,0
ST002081,CER(26:0),Cer,False,False,incomplete_across_eligible_samples,,acyl:26:0;chain_carbon:26;chain_unsaturation:0;family:Cer;family_unsaturation:Cer:0;total_carbon:26;total_unsaturation:0,,0
ST002081,CER(26:1),Cer,False,False,incomplete_across_eligible_samples,,acyl:26:1;chain_carbon:26;chain_unsaturation:1;family:Cer;family_unsaturation:Cer:1;total_carbon:26;total_unsaturation:1,,0
ST002081,DAG(12:0_16:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:12:0;acyl:16:0;chain_carbon:12;chain_carbon:16;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:28;total_unsaturation:0,,0
ST002081,DAG(12:0_18:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:12:0;acyl:18:0;chain_carbon:12;chain_carbon:18;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:30;total_unsaturation:0,,0
ST002081,DAG(12:0_18:1),DAG,False,False,incomplete_across_eligible_samples,,acyl:12:0;acyl:18:1;chain_carbon:12;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:1;total_carbon:30;total_unsaturation:1,,0
ST002081,DAG(14:0_14:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:14:0;chain_carbon:14;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:28;total_unsaturation:0,,0
ST002081,DAG(14:0_16:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:14:0;acyl:16:0;chain_carbon:14;chain_carbon:16;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:30;total_unsaturation:0,,0
ST002081,DAG(14:0_18:1),DAG,False,False,incomplete_across_eligible_samples,,acyl:14:0;acyl:18:1;chain_carbon:14;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:1;total_carbon:32;total_unsaturation:1,,0
ST002081,DAG(14:0_18:2),DAG,False,False,incomplete_across_eligible_samples,,acyl:14:0;acyl:18:2;chain_carbon:14;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:DAG;family_unsaturation:DAG:2;total_carbon:32;total_unsaturation:2,,0
ST002081,DAG(14:1_18:1),DAG,False,False,incomplete_across_eligible_samples,,acyl:14:1;acyl:18:1;chain_carbon:14;chain_carbon:18;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:2;total_carbon:32;total_unsaturation:2,,0
ST002081,DAG(15:0_18:1),DAG,False,False,incomplete_across_eligible_samples,,acyl:15:0;acyl:18:1;chain_carbon:15;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:1;total_carbon:33;total_unsaturation:1,,0
ST002081,DAG(16:0_16:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:16:0;chain_carbon:16;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:32;total_unsaturation:0,,0
ST002081,DAG(16:0_16:1),DAG,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:16:1;chain_carbon:16;chain_unsaturation:0;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:1;total_carbon:32;total_unsaturation:1,,0
ST002081,DAG(16:0_18:0),DAG,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:0;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;family:DAG;family_unsaturation:DAG:0;total_carbon:34;total_unsaturation:0,,0
ST002081,DAG(16:0_18:1),DAG,True,False,unrecognized_or_undersized_lipid_family,,acyl:16:0;acyl:18:1;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:1;family:DAG;family_unsaturation:DAG:1;total_carbon:34;total_unsaturation:1,,0
ST002081,DAG(16:0_18:2),DAG,False,False,incomplete_across_eligible_samples,,acyl:16:0;acyl:18:2;chain_carbon:16;chain_carbon:18;chain_unsaturation:0;chain_unsaturation:2;family:DAG;family_unsaturation:DAG:2;total_carbon:34;total_unsaturation:2,,0
