feature,family
CE(16:0); [M+NH4]+@10.93,CE
CE(16:1); [M+NH4]+@10.63,CE
CE(17:1); [M+NH4]+@10.82,CE
CE(18:1); [M+NH4]+@10.88,CE
CE(18:2); [M+NH4]+@10.70,CE
CE(18:3); [M+NH4]+@10.46,CE
CE(20:1); [M+NH4]+@11.23,CE
CE(20:2); [M+NH4]+@11.03,CE
CE(20:3); [M+NH4]+@10.73,CE
CE(20:4); [M+NH4]+@10.51,CE
CE(20:5); [M+NH4]+@10.35,CE
CE(22:4); [M+NH4]+@10.83,CE
CE(22:5); [M+NH4]+@10.66,CE
CE(22:6); [M+NH4]+@10.44,CE
DG 26:1; [M+NH4]+@5.51,DAG
DG 30:0; [M+NH4]+@7.35,DAG
DG 32:0; [M+NH4]+@7.86,DAG
DG 32:1; [M+NH4]+@7.43,DAG
DG 32:2; [M+NH4]+@6.99,DAG
DG 33:1; [M+NH4]+@7.70,DAG
DG 34:0; [M+NH4]+@8.36,DAG
DG 34:2; [M+NH4]+@7.52,DAG
DG 34:3; [M+NH4]+@7.16,DAG
DG 34:4; [M+NH4]+@6.83,DAG
DG 35:1; [M+NH4]+@8.16,DAG
DG 35:2; [M+NH4]+@7.81,DAG
DG 36:0; [M+NH4]+@8.68,DAG
DG 36:1; [M+NH4]+@8.41,DAG
DG 36:2; [M+NH4]+@8.00,DAG
DG 36:3; [M+NH4]+@7.67,DAG
DG 36:4; [M+NH4]+@7.34,DAG
DG 36:5; [M+NH4]+@6.97,DAG
DG 38:1; [M+NH4]+@8.64,DAG
DG 38:2; [M+NH4]+@8.47,DAG
DG 38:3; [M+NH4]+@8.17,DAG
DG 38:4; [M+NH4]+@8.01,DAG
DG 38:5; [M+NH4]+@7.55,DAG
DG 38:6; [M+NH4]+@7.24,DAG
DG 38:7; [M+NH4]+@6.87,DAG
DG 40:3; [M+NH4]+@8.57,DAG
DG 40:6; [M+NH4]+@7.74,DAG
DG 40:7; [M+NH4]+@7.46,DAG
PC 19:1; [M+H]+@1.76,PC
PC 21:4; [M+Na]+@1.26,PC
PC 26:0; [M+H]+@4.42,PC
PC 28:0; [M+H]+@5.17,PC
PC 29:0; [M+H]+@5.50,PC
PC 30:0; [M+H]+@5.78,PC
PC 30:3; [M+H]+@5.13,PC
PC 31:1; [M+Na]+@5.66,PC
PC 32:0; [M+H]+@6.45,PC
PC 32:1; [M+H]+@5.93,PC
PC 32:2; [M+H]+@6.54,PC
PC 32:3; [M+H]+@5.11,PC
PC 32:4; [M+H]+@5.35,PC
PC 33:3; [M+H]+@5.47,PC
PC 34:1; [M+H]+@6.54,PC
PC 34:2; [M+H]+@6.12,PC
PC 34:3; [M+H]+@5.61,PC
PC 35:2; [M+H]+@6.48,PC
PC 35:3; [M+H]+@6.31,PC
PC 35:4; [M+H]+@5.58,PC
PC 35:5; [M+H]+@5.43,PC
PC 36:0; [M+H]+@7.63,PC
PC 36:1; [M+H]+@7.16,PC
PC 36:3; [M+H]+@6.29,PC
PC 36:4; [M+H]+@6.00,PC
PC 36:5; [M+H]+@5.71,PC
