null_index,null_seed,random_rmse_sd,structural_rmse_sd,random_precision_at_k,structural_precision_at_k,reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper,row_degrees_preserved,column_degrees_preserved
0,20261200,1.785465366598465,1.237399159032854,0.47851851851851845,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5588497768656571,0.06167890090320462,0.9879348673468544,0.09540740740740733,0.08103703703703702,0.10918518518518511,True,True
1,20261201,1.763842165151953,1.237399159032854,0.48059259259259257,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5380468545012964,0.05870678262141098,0.9560318448081289,0.09333333333333327,0.07496296296296301,0.11244814814814816,True,True
2,20261202,1.7701691509191853,1.237399159032854,0.4617777777777778,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5442184364159524,0.06602476652628185,0.9596227456569519,0.112148148148148,0.08918518518518515,0.1368888888888889,True,True
3,20261203,1.7763311519578506,1.237399159032854,0.46755555555555556,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.548258563470037,0.058295662528821714,0.9735560436190926,0.10637037037037039,0.0859259259259259,0.13348148148148137,True,True
4,20261204,1.7940649905557409,1.237399159032854,0.4592592592592592,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5680899642038224,0.06895361775296084,1.0030854871313453,0.1146666666666667,0.09347777777777774,0.13925925925925936,True,True
5,20261205,1.8591733869352511,1.237399159032854,0.476,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.6278058592490101,0.06310749920681588,1.1180054887191515,0.09792592592592586,0.0798518518518519,0.11718518518518523,True,True
6,20261206,1.7850583322894353,1.237399159032854,0.476,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5591697829883491,0.062268898916015766,0.9885782711007013,0.09792592592592586,0.07674074074074072,0.12192592592592583,True,True
7,20261207,1.7289178612743923,1.237399159032854,0.46859259259259256,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5027213799827881,0.057566459815515045,0.8909407727155164,0.10533333333333322,0.0798518518518519,0.13081481481481472,True,True
8,20261208,1.7751350882139527,1.237399159032854,0.46607407407407403,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5488999030676553,0.06564885704680636,0.9704842840691188,0.10785185185185181,0.08385185185185184,0.13571111111111095,True,True
9,20261209,1.7590557950098622,1.237399159032854,0.47733333333333333,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5338574108498175,0.0625134033919407,0.9467578793509253,0.09659259259259251,0.07555555555555549,0.12207407407407406,True,True
10,20261210,1.7773690853402833,1.237399159032854,0.47348148148148145,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.55067861361073,0.05821572929435939,0.9797062783697074,0.10044444444444428,0.08488888888888885,0.1177777777777777,True,True
11,20261211,1.7964325212150094,1.237399159032854,0.4728888888888889,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5701949673289797,0.06189690468704499,1.0077726578379007,0.10103703703703704,0.08444444444444449,0.12192592592592588,True,True
12,20261212,1.8129352074421645,1.237399159032854,0.47659259259259257,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5853046598743257,0.05895528731762291,1.0445090848726004,0.09733333333333322,0.07970370370370378,0.11466666666666647,True,True
13,20261213,1.7767039208647781,1.237399159032854,0.47940740740740734,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5497541371222601,0.06316528023445339,0.9770554702140195,0.09451851851851845,0.07214814814814818,0.11762962962962964,True,True
14,20261214,1.7823238185599657,1.237399159032854,0.473037037037037,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5561793329627052,0.06347945542264855,0.9878670526287515,0.1008888888888888,0.08103703703703707,0.12237037037037035,True,True
15,20261215,1.7843018481964783,1.237399159032854,0.4801481481481481,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5582959541336316,0.06181859126320545,0.9918500059503564,0.09377777777777768,0.0759962962962962,0.11392592592592587,True,True
16,20261216,1.7769615388430358,1.237399159032854,0.48296296296296287,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5505376576794558,0.05737433563660364,0.985625059581161,0.0909629629629628,0.07348148148148143,0.10933333333333334,True,True
17,20261217,1.7866322689488516,1.237399159032854,0.4717037037037037,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5605738848611153,0.06522210137326569,0.9902271065306205,0.10222222222222216,0.08192592592592601,0.1275555555555556,True,True
18,20261218,1.7820184592675452,1.237399159032854,0.4702222222222222,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5563187826026226,0.06038244988087602,0.9856360285745245,0.10370370370370363,0.08444444444444471,0.1263703703703704,True,True
19,20261219,1.7887511172126453,1.237399159032854,0.476,0.5739259259259258,degree_preserving_random_structural_ridge,structural_descriptor_ridge,15,5000,0.5625655853761053,0.06379485125786953,0.9973162100725851,0.09792592592592586,0.08340740740740732,0.11392592592592604,True,True
