null_index,null_seed,random_rmse_sd,structural_rmse_sd,random_precision_at_k,structural_precision_at_k,reference,challenger,subjects,draws,rmse_improvement_sd,rmse_ci_lower,rmse_ci_upper,precision_improvement,precision_ci_lower,precision_ci_upper,row_degrees_preserved,column_degrees_preserved
0,20260900,0.4035952507199679,0.30912170664436084,0.7502707385748321,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09774657723143182,0.0924975135363664,0.10313955975059662,0.13157330093651376,0.11648361242101037,0.1466895463880496,True,True
1,20260901,0.40764101421836335,0.30912170664436084,0.7431665583712367,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.1020405246604395,0.0965507597878028,0.10767573145336179,0.14112314988829544,0.12655244457486875,0.15675378481369756,True,True
2,20260902,0.4015227912924951,0.30912170664436084,0.7589343729694606,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09458581147868034,0.08899332354939343,0.10028379965073543,0.12175715783594876,0.10718025333686516,0.13700864585128744,True,True
3,20260903,0.4123148232295799,0.30912170664436084,0.7358891054797487,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10655862712199521,0.1013441274688457,0.11221249592616415,0.15416266822621993,0.14048445787827224,0.16808847895619614,True,True
4,20260904,0.40610111978624364,0.30912170664436084,0.7570283734026423,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10023203676465325,0.09400086730801671,0.10611355860317184,0.12707374943160332,0.11305882478035952,0.14181915523936478,True,True
5,20260905,0.404072867397139,0.30912170664436084,0.7498375568551007,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09919446116848957,0.09403146676178185,0.10459033095049929,0.1348882770942612,0.1204702110729734,0.14909728672079897,True,True
6,20260906,0.40855867950230873,0.30912170664436084,0.7406974225687675,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10229856902494439,0.09680307090185195,0.10789622066656039,0.14703503986005229,0.13438659899645822,0.15907054693659675,True,True
7,20260907,0.4064164492895736,0.30912170664436084,0.7492311024474767,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10055445483374331,0.09519365567352082,0.10615025388347753,0.13284652111533857,0.1182078096213683,0.14768240270762023,True,True
8,20260908,0.4058041454560324,0.30912170664436084,0.7523066926575699,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10034982135520482,0.09471648013174984,0.10598395691345756,0.1321821183943499,0.11833389130814792,0.14656981325425106,True,True
9,20260909,0.4060707388223459,0.30912170664436084,0.756941737058696,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09989005835110137,0.0943412176339198,0.10540702135776252,0.12673994132249733,0.11367130193506136,0.1396087746039574,True,True
10,20260910,0.40528321541477047,0.30912170664436084,0.7564652371669914,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09907659410847441,0.09394706837053202,0.10438247050236815,0.12777824245407188,0.11340472844596719,0.14234662270819973,True,True
11,20260911,0.40730158860432625,0.30912170664436084,0.7546025557721463,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10119282381861516,0.09597928996220201,0.10648076527900582,0.13091714589060888,0.11350661628017418,0.1496064436437968,True,True
12,20260912,0.41131400678849683,0.30912170664436084,0.7457223305176521,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10615010074821712,0.10051450191800418,0.11174926213300335,0.13380183957781577,0.11868547648009506,0.1491027515123842,True,True
13,20260913,0.4087161942510989,0.30912170664436084,0.7514836473900801,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.1027799599687515,0.0970011625241971,0.10868851991264375,0.12665212985489482,0.11360479735640149,0.13973414243763885,True,True
14,20260914,0.4000113168338504,0.30912170664436084,0.7604938271604939,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09389404891363617,0.08840413921821164,0.09921300881622792,0.1205665275566723,0.10833764692267202,0.1331260683918176,True,True
15,20260915,0.4101698537875852,0.30912170664436084,0.7470218756768464,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10439686152578359,0.09874999106919417,0.10987577919770868,0.1391182853124452,0.12558563262493797,0.1526805942787113,True,True
16,20260916,0.40523100660570843,0.30912170664436084,0.7492311024474767,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09812663548403944,0.0926584504892655,0.10354428559995076,0.13553427543521201,0.12087548712319841,0.1498758241160505,True,True
17,20260917,0.40669570597734706,0.30912170664436084,0.7478016027723631,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10121553276319156,0.09595786102136994,0.10652098730009689,0.14147926435978087,0.12641119046506172,0.157098314012467,True,True
18,20260918,0.40866802475874137,0.30912170664436084,0.7431665583712368,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.10090053598318299,0.09546890128155262,0.10625916133830249,0.13647236205620739,0.12368503408174775,0.14873927695743816,True,True
19,20260919,0.4057443307726836,0.30912170664436084,0.7535629196447909,0.8876759800736408,degree_preserving_random_structural_ridge,structural_descriptor_ridge,112,5000,0.09851226822319592,0.09323927078717957,0.10395980314557861,0.13788240901832716,0.12472576340965023,0.15124179882919947,True,True
