feature,family,mask
CE(20:3),CE,0
CE(20:4),CE,0
CE(22:6),CE,0
FFA(12:0),FFA,0
FFA(15:0),FFA,0
FFA(20:3),FFA,0
FFA(20:5),FFA,0
FFA(22:2),FFA,0
FFA(22:4),FFA,0
LPC(16:1),LPC,0
LPC(18:1),LPC,0
LPE(16:0),LPE,0
PC(16:0_16:0),PC,0
PC(16:0_18:1),PC,0
PC(17:0_18:1),PC,0
PC(18:0_18:0),PC,0
PC(18:0_20:2),PC,0
PC(18:0_20:5),PC,0
PC(18:1_18:1),PC,0
PE(16:0_18:2),PE,0
PE(16:0_20:4),PE,0
PE(18:1_20:4),PE,0
PE(O-16:0_20:4),PE,0
PE(P-16:0_20:4),PE,0
PI(16:0_18:1),PI,0
PI(16:0_18:2),PI,0
SM(14:0),SM,0
SM(16:0),SM,0
SM(20:0),SM,0
TAG46:0-FA16:0,TAG,0
TAG47:1-FA18:1,TAG,0
TAG48:3-FA14:1,TAG,0
TAG48:4-FA18:1,TAG,0
TAG48:4-FA18:2,TAG,0
TAG49:0-FA17:0,TAG,0
TAG49:1-FA16:0,TAG,0
TAG49:1-FA18:1,TAG,0
TAG49:3-FA16:0,TAG,0
TAG50:1-FA18:0,TAG,0
TAG50:2-FA14:0,TAG,0
TAG50:4-FA16:1,TAG,0
TAG50:4-FA18:2,TAG,0
TAG50:5-FA14:0,TAG,0
TAG50:5-FA18:1,TAG,0
TAG51:1-FA18:1,TAG,0
TAG51:2-FA16:0,TAG,0
TAG52:0-FA18:0,TAG,0
TAG52:0-FA20:0,TAG,0
TAG52:1-FA16:1,TAG,0
TAG52:2-FA16:1,TAG,0
TAG52:3-FA20:2,TAG,0
TAG52:6-FA20:4,TAG,0
TAG52:6-FA20:5,TAG,0
TAG52:6-FA22:6,TAG,0
TAG53:1-FA17:0,TAG,0
TAG53:2-FA16:0,TAG,0
TAG53:2-FA18:1,TAG,0
TAG53:3-FA18:2,TAG,0
TAG54:2-FA20:0,TAG,0
TAG54:3-FA18:0,TAG,0
TAG54:3-FA18:3,TAG,0
TAG54:4-FA16:1,TAG,0
TAG54:4-FA20:2,TAG,0
TAG54:4-FA20:4,TAG,0
TAG54:5-FA18:2,TAG,0
TAG54:5-FA20:2,TAG,0
TAG54:5-FA20:4,TAG,0
TAG54:6-FA18:1,TAG,0
TAG54:6-FA18:2,TAG,0
TAG54:6-FA20:4,TAG,0
TAG54:6-FA20:5,TAG,0
TAG54:7-FA16:1,TAG,0
TAG54:7-FA18:1,TAG,0
TAG54:7-FA18:2,TAG,0
TAG54:7-FA20:4,TAG,0
TAG54:8-FA20:5,TAG,0
TAG55:2-FA18:2,TAG,0
TAG55:3-FA18:2,TAG,0
TAG55:4-FA18:2,TAG,0
TAG56:2-FA18:0,TAG,0
TAG56:3-FA18:2,TAG,0
TAG56:4-FA16:0,TAG,0
TAG56:4-FA18:0,TAG,0
TAG56:5-FA20:2,TAG,0
TAG56:5-FA20:3,TAG,0
TAG56:5-FA22:5,TAG,0
TAG56:6-FA18:0,TAG,0
TAG56:6-FA20:4,TAG,0
TAG56:6-FA22:6,TAG,0
TAG56:7-FA16:0,TAG,0
TAG56:7-FA18:1,TAG,0
TAG56:8-FA16:0,TAG,0
TAG56:8-FA18:2,TAG,0
TAG56:9-FA18:3,TAG,0
TAG56:9-FA20:4,TAG,0
TAG56:9-FA22:6,TAG,0
TAG57:2-FA18:1,TAG,0
TAG58:10-FA18:2,TAG,0
TAG58:3-FA18:1,TAG,0
TAG58:7-FA18:0,TAG,0
TAG58:8-FA18:2,TAG,0
TAG58:8-FA22:5,TAG,0
TAG58:9-FA18:2,TAG,0
CE(16:1),CE,1
CE(18:4),CE,1
CE(20:5),CE,1
FFA(17:0),FFA,1
FFA(18:0),FFA,1
FFA(18:2),FFA,1
FFA(18:3),FFA,1
FFA(20:2),FFA,1
LPC(16:0),LPC,1
LPC(20:3),LPC,1
LPE(20:4),LPE,1
PC(16:0_16:1),PC,1
PC(16:0_20:5),PC,1
PC(16:0_22:6),PC,1
PC(18:0_18:1),PC,1
PC(18:0_20:4),PC,1
PC(18:0_22:5),PC,1
PC(18:2_20:4),PC,1
PE(18:0_18:1),PE,1
PE(18:0_18:2),PE,1
PE(P-18:1_18:1),PE,1
PE(P-18:1_18:2),PE,1
PI(16:0_20:4),PI,1
PI(18:1_18:1),PI,1
SM(18:0),SM,1
SM(18:1),SM,1
SM(20:1),SM,1
TAG46:1-FA16:0,TAG,1
TAG46:3-FA18:2,TAG,1
