feature,family
CE(16:1),CE
CE(18:1),CE
CE(18:2),CE
CE(18:3),CE
CE(18:4),CE
CE(20:2),CE
CE(20:3),CE
CE(20:4),CE
CE(20:5),CE
CE(22:4),CE
CE(22:5),CE
CE(22:6),CE
FFA(12:0),FFA
FFA(14:0),FFA
FFA(14:1),FFA
FFA(15:0),FFA
FFA(16:0),FFA
FFA(16:1),FFA
FFA(17:0),FFA
FFA(18:0),FFA
FFA(18:1),FFA
FFA(18:2),FFA
FFA(18:3),FFA
FFA(18:4),FFA
FFA(20:0),FFA
FFA(20:1),FFA
FFA(20:2),FFA
FFA(20:3),FFA
FFA(20:4),FFA
FFA(20:5),FFA
FFA(22:0),FFA
FFA(22:1),FFA
FFA(22:2),FFA
FFA(22:4),FFA
FFA(22:5),FFA
FFA(22:6),FFA
FFA(24:0),FFA
FFA(24:1),FFA
LPC(16:0),LPC
LPC(16:1),LPC
LPC(17:0),LPC
LPC(18:0),LPC
LPC(18:1),LPC
LPC(18:2),LPC
LPC(20:3),LPC
LPC(20:4),LPC
LPE(16:0),LPE
LPE(18:0),LPE
LPE(18:1),LPE
LPE(18:2),LPE
LPE(20:4),LPE
PC(14:0_18:1),PC
PC(14:0_18:2),PC
PC(16:0_14:0),PC
PC(16:0_16:0),PC
PC(16:0_16:1),PC
PC(16:0_18:0),PC
PC(16:0_18:1),PC
PC(16:0_18:2),PC
PC(16:0_18:3),PC
PC(16:0_20:2),PC
PC(16:0_20:3),PC
PC(16:0_20:4),PC
PC(16:0_20:5),PC
PC(16:0_22:4),PC
PC(16:0_22:5),PC
PC(16:0_22:6),PC
PC(17:0_18:1),PC
PC(17:0_18:2),PC
PC(18:0_18:0),PC
PC(18:0_18:1),PC
PC(18:0_18:2),PC
PC(18:0_20:2),PC
PC(18:0_20:3),PC
PC(18:0_20:4),PC
PC(18:0_20:5),PC
PC(18:0_22:5),PC
PC(18:0_22:6),PC
PC(18:1_16:1),PC
PC(18:1_18:1),PC
PC(18:1_18:2),PC
PC(18:1_20:3),PC
PC(18:1_20:4),PC
PC(18:2_16:1),PC
PC(18:2_18:2),PC
PC(18:2_20:4),PC
PE(16:0_18:2),PE
PE(16:0_20:4),PE
PE(18:0_18:0),PE
PE(18:0_18:1),PE
PE(18:0_18:2),PE
PE(18:0_20:4),PE
PE(18:0_22:5),PE
PE(18:1_18:2),PE
PE(18:1_20:4),PE
PE(O-16:0_20:4),PE
PE(O-18:0_20:4),PE
PE(P-16:0_18:1),PE
PE(P-16:0_18:2),PE
PE(P-16:0_20:4),PE
PE(P-16:0_22:5),PE
PE(P-18:0_18:1),PE
PE(P-18:0_18:2),PE
PE(P-18:0_20:4),PE
PE(P-18:1_18:1),PE
PE(P-18:1_18:2),PE
PE(P-18:1_20:4),PE
PI(16:0_18:1),PI
PI(16:0_18:2),PI
PI(16:0_20:4),PI
PI(18:0_18:1),PI
PI(18:0_18:2),PI
PI(18:0_20:3),PI
PI(18:0_20:4),PI
PI(18:1_18:1),PI
SM(14:0),SM
SM(16:0),SM
SM(18:0),SM
SM(18:1),SM
SM(20:0),SM
SM(20:1),SM
SM(22:0),SM
SM(22:1),SM
SM(24:0),SM
SM(24:1),SM
SM(26:0),SM
SM(26:1),SM
TAG44:1-FA16:0,TAG
TAG44:1-FA18:1,TAG
TAG46:0-FA14:0,TAG
TAG46:0-FA16:0,TAG
TAG46:1-FA12:0,TAG
TAG46:1-FA14:0,TAG
TAG46:1-FA16:0,TAG
TAG46:1-FA18:1,TAG
TAG46:2-FA12:0,TAG
TAG46:2-FA14:0,TAG
TAG46:2-FA16:0,TAG
TAG46:2-FA18:1,TAG
TAG46:2-FA18:2,TAG
TAG46:3-FA18:2,TAG
TAG47:0-FA16:0,TAG
TAG47:1-FA16:1,TAG
TAG47:1-FA18:1,TAG
TAG47:2-FA18:1,TAG
TAG48:0-FA14:0,TAG
TAG48:0-FA16:0,TAG
TAG48:0-FA18:0,TAG
TAG48:1-FA14:0,TAG
TAG48:1-FA16:0,TAG
TAG48:1-FA16:1,TAG
TAG48:1-FA18:1,TAG
TAG48:2-FA12:0,TAG
TAG48:2-FA14:0,TAG
TAG48:2-FA14:1,TAG
TAG48:2-FA16:0,TAG
