feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
CE(16:1),CE,1,all_visible_ridge,1539,83.20042552853593,1579.1148700518943,0.23251097849189103,0.9473119865397748
CE(16:1),CE,1,family_score_ridge,1539,630.3610348253716,1579.1148700518943,0.6399932153359166,0.6008136920370739
CE(16:1),CE,1,population_mean,1539,1579.1148700518943,1579.1148700518943,1.0129489338529478,0.0
CE(16:1),CE,1,random_group_score_ridge,1539,669.7533302758327,1579.1148700518943,0.6596873116159684,0.5758678846119518
CE(18:1),CE,2,all_visible_ridge,1539,84.10705352629515,1601.9930302760395,0.23377437227398476,0.9474984897332527
CE(18:1),CE,2,family_score_ridge,1539,452.0958117583989,1601.9930302760395,0.5419958134813574,0.7177916487685978
CE(18:1),CE,2,population_mean,1539,1601.9930302760395,1601.9930302760395,1.0202603313758223,0.0
CE(18:1),CE,2,random_group_score_ridge,1539,984.7506159580408,1601.9930302760395,0.7999149629747713,0.3852965666221666
CE(18:2),CE,3,all_visible_ridge,1539,57.45919409447706,1625.327216877155,0.19322372723954262,0.9646476146477895
CE(18:2),CE,3,family_score_ridge,1539,683.2345842550067,1625.327216877155,0.6662935526337891,0.5796325951104486
CE(18:2),CE,3,population_mean,1539,1625.327216877155,1625.327216877155,1.0276638839619259,0.0
CE(18:2),CE,3,random_group_score_ridge,1539,1070.767378761051,1625.327216877155,0.8341194649725164,0.34119888743487303
CE(18:3),CE,4,all_visible_ridge,1539,134.7030269054623,1559.9682858892884,0.2958484971601264,0.9136501503755428
CE(18:3),CE,4,family_score_ridge,1539,717.0855227845709,1559.9682858892884,0.6825998168264441,0.5403204480046315
CE(18:3),CE,4,population_mean,1539,1559.9682858892884,1559.9682858892884,1.0067892615696759,0.0
CE(18:3),CE,4,random_group_score_ridge,1539,949.9084671865426,1559.9682858892884,0.7856363504223605,0.39107193666759066
CE(18:4),CE,1,all_visible_ridge,1539,194.0992998649292,1569.1619035904537,0.35513434467991695,0.8763038412920912
CE(18:4),CE,1,family_score_ridge,1539,1024.8766927150505,1569.1619035904537,0.8160494913878966,0.34686364079449383
CE(18:4),CE,1,population_mean,1539,1569.1619035904537,1569.1619035904537,1.0097516416929113,0.0
CE(18:4),CE,1,random_group_score_ridge,1539,1018.0347987546178,1569.1619035904537,0.8133210296718291,0.35122386260766525
CE(20:2),CE,3,all_visible_ridge,1539,99.94771915211616,1592.192644429514,0.2548397286498341,0.9372263654766929
CE(20:2),CE,3,family_score_ridge,1539,610.4841407969179,1592.192644429514,0.6298220819951914,0.6165764595554606
CE(20:2),CE,3,population_mean,1539,1592.192644429514,1592.192644429514,1.0171347608781045,0.0
CE(20:2),CE,3,random_group_score_ridge,1539,926.9768831436375,1592.192644429514,0.7760954584245155,0.41779853939987566
CE(20:3),CE,0,all_visible_ridge,1539,61.7197915165187,1579.4462422091224,0.2002594021410383,0.9609231451713145
CE(20:3),CE,0,family_score_ridge,1539,626.8364241220565,1579.4462422091224,0.6382014731158462,0.6031289908003961
CE(20:3),CE,0,population_mean,1539,1579.4462422091224,1579.4462422091224,1.0130552103095034,0.0
CE(20:3),CE,0,random_group_score_ridge,1539,922.5998636951258,1579.4462422091224,0.77426099822292,0.41587131043807224
CE(20:4),CE,0,all_visible_ridge,1539,56.952116326311284,1655.9374605023845,0.19236923750658194,0.9656073265538465
CE(20:4),CE,0,family_score_ridge,1539,1235.7540619831016,1655.9374605023845,0.8960798539206231,0.2537435190286752
CE(20:4),CE,0,population_mean,1539,1655.9374605023845,1655.9374605023845,1.037295886120336,0.0
CE(20:4),CE,0,random_group_score_ridge,1539,896.7373242496099,1655.9374605023845,0.7633317263147831,0.4584715029168105
CE(20:5),CE,1,all_visible_ridge,1539,59.64469732789688,1628.9575614882378,0.19686413802934818,0.963384744490578
CE(20:5),CE,1,family_score_ridge,1539,1503.3071906251453,1628.9575614882378,0.9883358696209663,0.07713544774505765
CE(20:5),CE,1,population_mean,1539,1628.9575614882378,1628.9575614882378,1.028810943168122,0.0
CE(20:5),CE,1,random_group_score_ridge,1539,1009.6989847947766,1628.9575614882378,0.8099843911870873,0.38015635970755324
CE(22:4),CE,2,all_visible_ridge,1539,248.25343193970906,1586.5971949525183,0.40163201175367985,0.8435309020276325
CE(22:4),CE,2,family_score_ridge,1539,755.1953684064075,1586.5971949525183,0.70050356360924,0.5240156916897813
CE(22:4),CE,2,population_mean,1539,1586.5971949525183,1586.5971949525183,1.0153459273301322,0.0
CE(22:4),CE,2,random_group_score_ridge,1539,1215.6343897703023,1586.5971949525183,0.88875524937299,0.2338103246131843
CE(22:5),CE,4,all_visible_ridge,1539,106.38508534408489,1589.3221721962889,0.2629184499701153,0.9330626054268966
CE(22:5),CE,4,family_score_ridge,1539,716.9635135945845,1589.3221721962889,0.6825417435625334,0.5488872387630441
CE(22:5),CE,4,population_mean,1539,1589.3221721962889,1589.3221721962889,1.0162174804828512,0.0
CE(22:5),CE,4,random_group_score_ridge,1539,1326.1060489961778,1589.3221721962889,0.9282603881862131,0.16561533451482147
CE(22:6),CE,0,all_visible_ridge,1539,56.84579602723359,1610.7479422130532,0.19218959265232985,0.9647084472141982
CE(22:6),CE,0,family_score_ridge,1539,1095.800045161906,1610.7479422130532,0.8438132625572529,0.3196948967345229
CE(22:6),CE,0,population_mean,1539,1610.7479422130532,1610.7479422130532,1.0230444005479733,0.0
CE(22:6),CE,0,random_group_score_ridge,1539,1165.8532746575218,1610.7479422130532,0.8703674452241376,0.27620377831697107
FFA(12:0),FFA,0,all_visible_ridge,1539,251.22927969778652,1560.0695951743367,0.404032049644038,0.8389627741769354
FFA(12:0),FFA,0,family_score_ridge,1539,946.0996524673659,1560.0695951743367,0.7840596990916437,0.3935529187967798
FFA(12:0),FFA,0,population_mean,1539,1560.0695951743367,1560.0695951743367,1.0068219530818228,0.0
FFA(12:0),FFA,0,random_group_score_ridge,1539,1445.0713175891253,1560.0695951743367,0.9690034663156398,0.07371355607527263
FFA(14:0),FFA,2,all_visible_ridge,1539,102.5538571247124,1573.6285619522032,0.2581408225979785,0.934829692594365
FFA(14:0),FFA,2,family_score_ridge,1539,671.9613013249531,1573.6285619522032,0.6607738101282212,0.5729860797065509
FFA(14:0),FFA,2,population_mean,1539,1573.6285619522032,1573.6285619522032,1.0111877620043779,0.0
